ID;GLINE_VERSION_ID;NODE_ID;NODE_STATUS_ID
6438744;1856;11;1
6437315;2476;1;1
6431796;2816;68;2
6430057;1656;5;2
6430058;1656;11;1
6431797;2816;170;1
6431798;2816;1226;2
6437316;2476;28;2
6437342;4017;11;1
6438745;1856;1112;2
6438746;1924;1;1
6437343;4017;26;2
6438747;1924;746;2
6438748;1924;11;1
6434659;801827;11;1
6438749;1924;18;2
6439207;802187;18;2
6439208;802187;1;1
6430055;3416;5;2
6430056;3416;11;1
6439486;2257;11;1
6439487;2257;183;2
6439488;2257;1;1
6437107;1936;1;1
6437108;1936;746;2
6439489;1799;11;1
6439490;1799;183;2
6437109;1936;11;1
6437110;1936;67;2
6438818;801005;11;1
6438819;801005;746;2
6438820;801005;26;2
6437344;4017;38;2
6438821;801005;38;2
6437345;4017;1;1
6424503;2876;1;1
6424505;2876;28;2
6438822;801005;5;2
6438823;801005;82;2
6439491;1799;1;1
6427992;1620;11;1
6427993;1620;38;2
6426365;1855;11;1
6426367;1855;1112;2
6438824;801005;746;1
6438825;801005;18;2
6438826;801005;800427;2
6426557;106;16;3
6426559;106;45;3
6438827;801005;1026;2
6438828;801005;60;2
6438829;801005;1112;2
6426445;1923;1;1
6426447;1923;18;2
6438830;801005;4;2
6438831;2617;1;1
6438832;2617;11;1
6438833;2617;1486;2
6426453;1801;1;1
6426455;1801;28;2
6426457;1801;82;3
6438834;2617;60;2
6438835;2617;38;2
6426561;106;122;2
6426563;106;125;3
6426565;106;127;1
6438836;2617;5;2
6432898;1918;1;1
6428392;1843;1;1
6428393;1843;23;2
6428394;1843;11;1
6432899;1918;82;2
6432900;1918;11;1
6433503;1626;11;1
6433504;1626;1;1
6433505;1626;38;2
6432915;1879;1;1
6432916;1879;746;2
6432917;1879;23;2
6432918;1879;36;3
6432919;1879;38;2
6433104;801245;127;1
6433105;801245;1;1
6425369;818;68;2
6433106;801245;82;2
6433107;801245;183;2
6427912;4018;170;1
6427913;4018;68;2
6433458;1627;11;1
6433456;1628;11;1
6433338;801727;1112;2
6433339;801727;11;1
6433459;1627;38;2
6425371;818;170;1
6433523;1622;11;1
6433524;1622;127;1
6433525;1622;38;2
6433399;1624;11;1
6433400;1624;1;1
6433457;1628;38;2
102;1847;1;1
103;1847;28;2
108;1851;11;1
109;1851;60;2
142;1920;11;1
143;1920;1112;2
256;2856;1;1
257;2856;28;2
365;3916;1;1
366;3916;11;1
367;3917;1;1
368;3917;11;1
6434176;801747;11;1
6430152;1837;11;1
6430153;1837;60;2
6433176;1937;1;1
6433177;1937;23;2
6433178;1937;11;1
6433179;1937;38;2
6425685;1852;1;1
6425687;1852;28;2
6432079;3896;1;1
6432080;3896;11;1
6437631;2976;1;1
6432081;3896;800347;2
6432082;3896;800367;2
6431785;1845;11;1
6429418;801125;4;2
6429419;801125;1112;2
6429420;801125;11;1
6429421;801125;800205;3
6429422;801125;800165;3
6437632;2976;38;2
6437633;2976;5;2
6437634;2976;11;1
6437635;2976;18;2
6437636;2976;800427;2
6437637;2976;1026;2
6431786;1845;60;2
6436176;1623;11;1
6436340;1848;1;1
6436341;1848;11;1
6436342;1848;82;2
6436343;1848;1506;2
6435265;2316;746;2
6435266;2316;11;1
6435267;2316;1;1
6435439;801867;38;2
6435440;801867;11;1
6435496;1618;11;1
6435497;1618;38;2
6436116;2396;183;2
6436117;2396;1;1
6434596;801807;177;2
6434597;801807;1;1
6434816;1619;11;1
6434817;1619;1;1
6434818;1619;38;2
6435758;1878;1;1
6435759;1878;9;2
6436118;2396;11;1
6436119;2396;38;2
6436120;2396;746;2
6436426;801667;1506;2
6436427;801667;127;1
6436428;801667;11;1
6436429;801667;82;2
6436296;801967;82;2
6436297;801967;1;1
6434296;1840;11;1
6434297;1840;60;2
6434278;801767;36;2
6434279;801767;11;1
6434298;1840;1786;2
6435976;801947;11;1
6438759;1857;18;2
6438760;1857;11;1
6438761;1857;28;2
6438762;1857;1112;2
6438764;22;1;1
6436976;1616;11;1
6436977;1616;1108;2
6438804;802068;28;2
6438805;802068;1;1
6437686;1853;1;1
6439648;1877;11;1
6439649;1877;5;2
6439285;801627;67;2
6439286;801627;11;1
6437687;1853;9;2
6437688;801366;1;1
6437689;801366;9;2
6438763;1857;1112;3
6438765;22;50;2
6438981;3996;11;1
6438982;3996;60;2
6439287;801627;1;1
6439288;801627;9;2
6439441;2337;38;2
6439442;2337;11;1
6439650;1877;18;2
6437088;1839;1;1
6437089;1839;28;2
6437090;1839;11;1
6439701;2516;11;1
6439702;2516;38;2
6439703;2516;5;2
6439704;2516;18;2
6439705;2516;800427;2
6439514;2576;1;1
6439515;2576;11;1
6438364;2456;11;1
6438365;2456;18;2
6438366;2456;1;1
6439516;2576;18;2
6439517;2576;82;2
6439509;1849;18;2
6439510;1849;1;1
6439511;1849;11;1
6439512;1849;82;2
6437376;1800;11;1
6437377;1800;26;2
6437378;1800;746;2
6437379;1800;38;2
6439513;1849;1506;2
6437420;1796;11;1
6437421;1796;67;2
6437422;1796;33;2
6437399;1919;11;1
6437400;1919;1112;2
6437401;1919;60;2
6439518;2556;1;1
6439519;2556;11;1
6439520;2556;746;2
6439521;2556;38;2
6437423;1796;38;2
6439443;2337;1;1
6439522;2556;183;2
6439523;2556;1026;2
6437456;1917;1;1
6437457;1917;26;2
6437458;1917;11;1
6437459;1917;38;2
6439524;2556;800427;2
6439525;2556;5;2
6439527;2376;11;1
6439528;2376;800427;2
6439529;2496;11;1
6439530;2496;38;2
6439531;2496;23;2
6439532;2496;18;2
6438336;1797;1;1
6438337;1797;9;2
6438338;1797;1112;3
6437761;1898;1;1
6437762;1898;9;2
6437763;1898;1586;2
6438944;1897;11;1
6438945;1897;1;1
6438946;1897;9;2
6438947;2538;82;2
6438948;2538;18;2
6439021;2356;11;1
6439022;2356;1;1
6439023;2356;67;2
6438949;2538;1;1
6438950;2538;11;1
6438951;2538;26;2
6438952;2538;50;2
6438953;2538;38;2
6438954;2538;746;2
6438955;2538;1506;2
6438956;2538;9;2
6438957;2538;1586;2
