ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;IS_DEPOT;VERSION
800165;Prelada;PLA;41,17066477;-8,626961291;T;Y;N;0
800307;Mota Pinto;MTPT;41,16686759;-8,648357139;T;Y;N;0
800205;Pasteleira;PAST;41,15514117;-8,668764972;T;Y;N;0
800266;Pr.Cidade Salvador;PCSV;41,1736;-8,683408;T;Y;N;0
800327;Lionesa;LION;41,19779995;-8,624963877;T;Y;N;0
800367;Levada;LEV;41,17320051;-8,556446502;T;Y;N;0
800467;P. Nascente;PQN;41,15954337;-8,561522005;T;Y;N;0
400041;Guardeiras;GUDR;41,2;-8,5;T;Y;N;0
800347;Fanzeres;FAZ;41,18427668;-8,53992987;T;Y;N;0
800387;CDUP;CDUP;41,15584792;-8,653541751;T;Y;N;0
400003;Bessa;BESS;41,16143356;-8,643289943;T;Y;N;0
1246;Serralves;SRLV;41,16045;-8,6591515;R;Y;N;0
1286;Vale Formoso;VLF;41,165925;-8,611177;R;Y;N;0
800388;ISEP;ESEP;41,17429005;-8,619238104;T;Y;N;0
800407;Exponor;EXP;41,202206;-8,696771;T;Y;N;0
1506;Estadio do Dragao;EDRA;41,161;-8,581997;T;Y;N;0
800427;Pr.D.Joao I;PRDJ;41,148225;-8,6204055;T;Y;N;0
800447;Rotunda do Bessa;ROTB;41,16544516;-8,640611749;T;Y;N;0
1686;Queimodromo;QMD;41,1736;-8,683401;R;Y;N;0
1306;Maia-Zoo;MAIZ;41,23616;-8,630326;R;Y;N;0
1486;H.S.Joao(Exterior);HSJE;41,18325;-8,600566;R;Y;N;0
1586;Marques Constituicao;MPLC;41,16182;-8,603337;R;Y;N;0
1746;Areias;AREI;41,15936;-8,555251;R;Y;N;0
1426;Camara de Matosinhos;CMM;41,17861;-8,681406;R;Y;N;0
2;Viso;VIS;41,177882;-8,644781;B;Y;N;0
3;Fonte da Moura;FTM;41,16415333;-8,662758667;T;Y;N;0
4;Boavista;BVTA;41,159132;-8,629374;C;Y;N;0
5;Pr.Liberdade;PRL;41,15600833;-8,611369;D;Y;N;0
7;S.Roque;SR;41,16664;-8,568727857;T;Y;N;0
8;Antas;ANT;41,164525;-8,588864;T;Y;N;0
9;Marques;MPL;41,16110143;-8,604476571;T;Y;N;0
1546;Ponte de Moreira;PTM;41,236895;-8,646769;R;Y;N;0
11;ER.Francos;ERF;41,17085;-8,63845;C;Y;N;0
13;Aldoar;ALD;41,17083;-8,6707215;B;Y;N;0
14;Carcavelos;CCV;41,1788575;-8,682147;T;Y;N;0
15;C.Queijo;CQ;41,16798857;-8,688251857;L;Y;N;0
16;Matosinhos;MAT;41,187426;-8,6903926;L;Y;N;0
18;Cordoaria;CORD;41,14882;-8,608977571;B;Y;N;0
19;Pr.Galiza;PRG;41,15288;-8,626703;E;Y;N;0
20;Candal;CDL;41,13579167;-8,632134667;D;Y;N;0
21;Coimbroes;COB;41,123746;-8,6322364;L;Y;N;0
1786;Esposade 1;ESP1;41,19;-8,6625;R;Y;N;0
23;Bolhao;BOLH;41,15158667;-8,607287;C;Y;N;0
24;A.Garrett;PRAG;41,14965;-8,61605;D;Y;N;0
25;P.Alegre;PALG;41,1484475;-8,66943475;L;Y;N;0
26;S.Bandeira;SBAN;41,147164;-8,6096496;D;Y;N;0
27;Areosa;ARS;41,18132625;-8,58350725;D;Y;N;0
28;H.S.Joao;HSJ;41,18296846;-8,601346923;C;Y;N;0
30;Lordelo;LRD;41,154555;-8,64809925;B;Y;N;0
31;M.G.Costa;MGC;41,16124;-8,661884;L;Y;N;0
33;Loios;LOI;41,14579;-8,6123415;B;Y;N;0
34;Campanha;CMP;41,148636;-8,5864936;B;Y;N;0
