ID;SEG_ID;PATH_VERSION_ID;LENGTH;PTSG_ORDER
1625435;9730;1615370;2520;3
1623201;806715;1613686;2970;1
1623202;9345;1613686;3150;2
1623203;9346;1613689;2940;1
1623204;806716;1613689;2820;2
1623205;9346;1613688;2940;1
1623206;806716;1613688;2820;2
1623207;8001;1613688;750;3
1623208;806717;1613688;5240;4
1623209;806714;1613687;5760;1
1623210;12605;1613687;1540;2
1621642;806054;1612887;4100;1
1621573;805975;1612809;3500;1
1625436;8366;1615371;2660;1
1625437;8367;1615371;2460;2
1625438;806794;1615371;3140;3
1623211;806715;1613687;2970;3
1623212;9345;1613687;3150;4
1621571;805974;1612808;3500;1
1621941;7305;1613088;2640;1
1621942;400481;1613088;2530;2
1621943;400485;1613088;2490;3
1617353;7851;172592;3720;1
1617355;7853;172592;3390;2
1617357;13226;179922;1840;1
1621944;400487;1613089;2570;1
1621945;400483;1613089;2430;2
1621946;7306;1613089;2910;3
1621947;806274;1613126;10000;1
1621948;806275;1613127;10000;1
1617359;7867;179922;2260;2
1622157;806318;1613190;5000;1
1617297;8116;172460;2080;1
1617299;8114;172460;2920;2
1617301;8112;172460;4100;3
1617303;8110;172460;4810;4
1617305;8108;172460;2080;5
1617307;8107;172459;1610;1
1617309;8109;172459;5030;2
1617311;8111;172459;4420;3
1617313;8113;172459;2890;4
1617315;8115;172459;1980;5
1617317;8116;175571;2080;1
2188;11768;179962;3560;1
2189;11766;179962;3800;2
2190;8090;179962;2290;3
2191;9828;179962;2070;4
2192;13253;179962;2660;5
1617319;10446;175571;7630;2
1617321;8110;175571;4810;3
1617323;8337;175571;1710;4
1617325;10425;175570;1980;1
1617327;10427;175570;4660;2
1617329;10445;175570;7310;3
1617331;10433;175570;1980;4
1617361;7869;179922;1500;3
1617381;8165;175730;1300;1
1617383;8166;175730;4850;2
1617385;8351;175730;1530;3
1617387;8353;175730;2800;4
1617389;8355;175730;770;5
1617363;7871;179922;3720;4
1617365;7873;179922;2870;5
1617367;7874;179923;2820;1
1617369;7872;179923;3540;2
1617371;7870;179923;1520;3
1617373;7868;179923;2140;4
1617375;13225;179923;2800;5
1617377;7871;172594;3720;1
1617379;7873;172594;2870;2
1617391;9945;175730;2940;6
1617393;8351;175732;1530;1
1617395;8353;175732;2800;2
1617397;8355;175732;770;3
1617399;9945;175732;2940;4
1617401;8356;175731;2590;1
1617403;8127;175731;1070;2
1617405;8354;175731;2920;3
1617407;8348;175731;1410;4
1617409;8349;175731;4540;5
1617411;13256;175731;2220;6
1617421;8177;172493;3240;1
1617423;8175;172493;3570;2
1617425;8173;172493;3330;3
1617427;8171;172493;2300;4
1617429;8346;175773;2910;1
1617431;8347;175773;3930;2
1617433;8346;175771;2910;1
1617435;8347;175771;3930;2
1617437;10588;175771;1900;3
1617439;10586;175771;1610;4
1617441;8201;172498;1540;1
1617443;8183;172498;2550;2
1617445;8181;172498;2760;3
1617447;8179;172498;1620;4
1617449;8178;172497;1730;1
1617451;8180;172497;2610;2
1617453;8182;172497;2610;3
401961;11807;401681;540;1
1617455;8200;172497;1710;4
1617457;7323;401603;1210;1
1617459;400921;401603;3000;2
1617461;400925;401603;2430;3
1617463;400929;401603;3520;4
1617465;7331;401603;2610;5
1617467;7332;401605;2550;1
1617469;400931;401605;3560;2
1617471;400947;401605;2220;3
1617473;400923;401605;4000;4
1617475;7392;401605;1390;5
401963;11808;401681;670;2
401965;11809;401681;800;3
401967;11810;401681;570;4
1617497;8202;172499;2360;1
1617499;8204;172499;3570;2
1617501;8206;172499;1470;3
1617503;8208;172499;1770;4
1617505;8210;172499;1890;5
1617507;8474;172499;3580;6
402213;400965;401441;2260;2
402215;400969;401441;1500;3
402217;7451;401441;4680;4
402201;7454;401443;4520;1
402203;7452;401443;4400;2
402219;7453;401441;3680;5
402205;400971;401443;1520;3
402207;5162;401443;2140;4
402209;7392;401443;1390;5
402211;400961;401441;1240;1
1617521;8212;172501;1400;1
1617523;8214;172501;5240;2
1617525;8216;172501;2870;3
1617527;8218;172501;1630;4
1617529;8216;172614;2870;1
1617531;8218;172614;1630;2
1617533;8219;172502;1420;1
1617535;8217;172502;2910;2
1617537;8215;172502;4950;3
1617539;8213;172502;1060;4
1625635;808140;1615552;5300;1
1616187;7910;402403;5720;1
1616189;7909;402401;5810;1
403283;7903;402405;3340;1
403285;7905;402405;2650;2
403287;7907;402405;5070;3
403289;7909;402405;5810;4
1616125;9445;174170;2590;1
1616127;7927;174170;1910;2
1616129;7929;174170;2490;3
1616131;7931;174170;2620;4
1616165;7342;401367;6320;1
1616167;400927;401367;3250;2
1616169;400943;401367;1540;3
1616171;400939;401367;2000;4
1616173;400935;401367;2560;5
1616175;400933;401365;2890;1
1616177;400937;401365;2600;2
1616179;400941;401365;2000;3
1616181;400945;401365;3100;4
1616183;7339;401365;7110;5
1616185;11768;401043;3560;1
1623789;807122;1614268;13200;1
1623790;807123;1614269;13500;1
401301;400721;401205;2000;1
401303;7389;401205;4320;2
401305;400729;401205;2010;3
401307;400733;401205;3120;4
401309;400735;401207;2000;1
401311;400731;401207;2000;2
401313;6854;401207;4360;3
401315;400723;401207;5010;4
1623961;7323;1614426;1210;1
401329;7365;401213;2100;1
401331;7367;401213;3420;2
401333;7369;401213;2950;3
401335;400741;401213;2900;4
1623962;400921;1614426;3750;2
1623963;400925;1614426;2430;3
