ID;NAME;EMPTY;TYPE_VALUE;OLD_TYPE_VALUE
1611063;700_Campo_Bolhao Mercado;N;0;0
1612167;Ramalde_UOF;N;1;0
1613948;601_Boavista_Aeroporto (Direto;N;0;0
1612686;302_ Cordoaria_Campo 24 de Agosto;N;0;0
1612706;303_Campo 24 de Agosto_Cordoara;N;0;0
1612446;35_Levada_Fanzeres;N;0;0
1612447;35_Fanzeres_Levada;N;0;0
1611624;Campo_UOF;N;1;0
402401;705_Alto da Serra_Valongo;N;0;0
402403;705_Valongo_Alto da Serra;N;0;0
402405;705_Parada_Valongo;N;0;0
402481;705_Hospital de S.João_Valongo;N;0;0
402483;705_Valongo_Hospital de S.Joao;N;0;0
1611944;500_Praca Liberdade_Matosinhos;N;0;0
401241;13M_Aliados_Matosinhos;N;0;0
401243;13M_Matosinhos_Aliados;N;0;0
1611945;500_Matosinhos_Praca da Liberdade;N;0;0
401761;104_Massarrelos_Bom Sucesso;N;0;0
402281;Monte da Virgem_UOF;N;1;0
401201;1M_Aliados_Matosinhos;N;0;0
401203;1M_Matosinhos_Aliados;N;0;0
401205;3M_Aliados_Aeroporto;N;0;0
401207;3M_Aeroporto_Aliados;N;0;0
401209;4M_Aliados_Maia;N;0;0
401211;4M_Maia_Aliados;N;0;0
401213;5M_Aliados_Ermesinde;N;0;0
401215;5M_Ermesinde_Aliados;N;0;0
401401;205_Campanha_Lidador;N;0;0
401521;18_Massarelos_Massarelos;N;0;0
1610141;UOF_Valongo;N;1;0
1610181;UOF_Gondomar;Y;1;0
1610221;UOF_S.Pedro da Cova;N;1;0
1610301;UOF_Valadares;N;1;0
1610303;Valadares_UOF;N;1;0
1610305;UOF_Madalena;Y;1;0
1614066;3M_Aliados_Padrao da Legua;N;0;0
1612806;401_Campo 24 de Agosto_S.Roque;N;0;0
1614067;3M_Padrao da Legua_Aliados;N;0;0
1612807;401_S.Roque_Campo 24 de Agosto;N;0;0
1612808;UON_C.24 Agosto;N;1;0
1611261;200_Praca da Galiza_Mercado Foz;N;0;0
1611263;200_Mercado Foz_Praca da Galiza;N;0;0
1611584;104_Bom Sucesso_Infante;N;0;0
1612809;C.24 Agosto_UON;N;1;0
1612887;Vale Formoso_UOF;N;1;0
1613126;UOF_Seixo;N;1;0
1613127;Seixo_UOF;N;1;0
1613186;207_Campanha_Mercado da Foz;N;0;0
1613187;207_Praca D.João I_Mercado da  Foz;N;0;0
1613188;207_Mercado da Foz_Campanha;N;0;0
1613190;UOF_Praca D.Joao I;N;1;0
1611021;700_Bolhao Mercado_Valongo;N;0;0
1611023;700_Valongo_Bolhao Mercado;N;0;0
1611025;700_S.Roque_Valongo;N;0;0
1613949;601_Aeroporto_Boavista (Direto);N;0;0
1611029;700_Valongo_S.Roque;N;0;0
1611381;904_Gaia Camara_Coimbroes Sul;N;0;0
1613967;901_Valadares_Infante;N;0;0
1613986;104_Bom Sucesso_Alfandega;N;0;0
1614006;602_Cordoaria_Araujo;N;0;0
1613626;303/Boavista_Campo 24 de Agosto;N;0;0
1613627;303/_Campo 24 Agosto_Campo 24 Agosto;N;0;0
1611544;901_Cabine_Valadares;N;0;0
1614007;602_Araujo_Cordoaria;N;0;0
1613086;3M_Aliados_Araujo;N;0;0
1613087;3M_Araujo_Aliados;N;0;0
1613088;1M_Aliados_Mercado da Foz;N;0;0
1613089;1M_Mercado da Foz_Aliados;N;0;0
1613090;7M_Aliados_Seixo;N;0;0
1613091;7M_Seixo_Aliados;N;0;0
1613092;8M_Aliados_Rio Tinto;N;0;0
1613093;8M_Rio Tinto_Aliados;N;0;0
1613094;10M_Santo Ovidio_Vila d'Este;N;0;0
1613095;10M_Vila d'Este_Santo Ovidio;N;0;0
1613096;11M_Aliados_Coimbroes;N;0;0
1613097;11M_Coimbroes_Aliados;N;0;0
1613098;UOF_Coimbroes Sul;N;1;0
1613099;Coimbroes Sul_UOF;N;1;0
1613146;500_Praca da Liberdade_Castelo do Queijo;N;0;0
1613147;500_Castelo do Queijo_Praca da Liberdade;N;0;0
804969;Valongo_UON;N;1;0
1610701;Alfandega_UON;Y;1;0
1612084;201_Aliados_Viso;N;0;0
1612085;201_Viso_Aliados;N;0;0
1612368;48_Trindade_Cordoaria;N;0;0
1612369;48_Cordoaria_Trindade;N;0;0
1612466;UON_Fanzeres;N;1;0
1612467;Fanzeres_UON;N;1;0
1612468;UON_Levada;N;1;0
1612469;Levada_UON;N;1;0
1612486;201_Cordoaria_Viso;N;0;0
1612487;201_Viso_Cordoaria;N;0;0
1612646;904_Batalha_Coimbroes Sul;N;0;0
1612647;904_Coimbroes Sul_Batalha;N;0;0
1612906;400_Trindade_Azevedo;N;0;0
1612907;400_Azevedo_Trindade;N;0;0
1613689;204_Foz_Boavista;N;0;0
1614026;69_Boavista_Serralves;N;0;0
1614027;69_Serralves_Boavista;N;0;0
1614046;905_Gaia Camara-M.Virgem;N;0;0
1613100;UOF_Araujo;N;1;0
1613246;66_Trindade_Queimodromo;N;0;0
1613247;66_Queimodromo_Trindade;N;0;0
1613248;67_Hospital de S.Joao_Queimodromo;N;0;0
1613266;69_Aliados_Serralves;N;0;0
1613267;69_Serralves_Aliados;N;2;2
1609941;907_Gaiashoping_Vila D'Este;N;0;0
1609981;907_Vila D'Este_Gaiashopping;N;0;0
1610823;Mercado da Foz_UOF;N;1;0
1610021;UON_Campo;Y;1;0
