ID;GISTLINE_ID;YEAR_SEASON_ID;DAY_TYPE_ID;VERSION;ACTIVE
12183519;2617;1;2;24 de dezembro 2022;N
12173316;1918;1;1;24 de dezembro 2021;N
12132921;1622;1;6;10;N
12179061;1898;1;1;Verão A;N
12178547;1838;1;2;20;Y
12164085;1622;1;6;31 de dezembro de 2019;N
12179151;1840;1;1;Ferias escolares e Verão JS;N
12173813;2356;1;2;20;Y
12164055;1618;1;6;31 de dezembro de 2019;N
12179187;2456;1;1;Verão A;N
12163643;801727;1;3;11 de dezembro 2016;N
12174013;1920;1;3;30;Y
12179188;801125;1;3;350(Covid19);N
12093133;1622;1;1;10;Y
12093135;1622;1;2;20;Y
12093137;1622;1;3;30;Y
12179192;1838;1;1;350(Covid19);N
12174610;1797;1;1;31 de dezembro 2021;N
12174652;1840;1;1;31 de dezembro 2021;N
12174715;1844;1;1;31 de dezembro 2021;N
12180348;1925;1;1;15_Reforço;N
12180889;2536;1;6;Verão A;N
12180651;4018;1;1;15;N
12160605;801627;1;1;10;N
12180770;1919;1;3;25 de dezembro 2021;N
12180874;801005;1;1;15_(Reforço_Periferia_(704 e 907);N
12136761;1847;1;2;20;Y
12181166;1817;1;3;28 Fevereiro 2021 covid;N
12181239;801507;1;2;27 Fevereiro (Covid 2021);N
12181249;2536;1;3;28 Fevereiro 2021 covid;N
12166229;801747;1;2;3 de Junho 2017 (Serralves);N
12166363;801767;1;1;10;Y
12140620;1618;1;1;10;Y
12140621;1618;1;2;20;Y
12140622;1618;1;3;30;Y
12162547;801667;1;1;10 DMK;N
12183315;801907;1;2;25_(Obras);N
12181605;801005;1;1;15_Reforço;N
12182797;2337;1;1;15_ UOF_15;N
12182231;1849;1;1;24 de dezembro 2021;N
12178434;2556;1;2;20;Y
12171192;801587;1;1;2 maio 2022;N
12182659;2496;1;3;30apagar;N
12182234;2376;1;1;24 dezembro 2021;N
12178748;1840;1;3;30;Y
12178506;1919;1;2;20;Y
12183318;2536;1;2;20_(Obras);N
12174409;801967;1;3;30;N
12182883;1849;1;1;Cortejo Queima 2022;N
12182993;801548;1;2;20;N
12164063;1628;1;3;1 de janeiro de 2020;N
12182912;2516;1;1;Dia do cortejo queima 2022;N
12183095;1842;1;1;23_ Junho 2022;N
12183103;1916;1;1;S. João;N
12183372;1801;1;1;Testes Rui Pereira;N
12170949;2116;1;1;Verão 2020;N
12183450;1853;1;2;24 de dezembro 2022;N
12170951;3256;1;1;Verão_ 2020;N
12129800;1853;1;1;24 de dezembro 2021;N
12183451;1878;1;2;24 de dezembro 2022;N
12183536;2337;1;2;24 de dezembro 2022;N
12178134;1803;1;2;20;Y
12136765;2856;1;3;30;Y
12171857;801747;1;3;3 de Junho 2017 (Serralves);N
12163453;801547;1;1;10 UOF;N
12173592;2116;1;2;Inverno 2019/2020;N
12178174;2316;1;1;10;N
12173593;2116;1;3;Inverno 2019/2020;N
12178148;1616;1;3;30;Y
12173292;3996;1;1;24 de dezembro 2021;N
12178163;1936;1;2;20;Y
