ID;NAME;START_NODE_ID;END_NODE_ID;SEG_TYPE_ID;DEFAULT_LENGTH;AVG_DURATION;VISIBLE
806419;100_Rotunda AEP_Rotunda do Bessa;52;800447;1;2000;1;Y
806420;100_Rotunda AEP_Aeroporto;52;107;1;5000;1;Y
806421;100_Aeroporto_Rotunda AEP;107;52;1;5000;1;Y
806422;UOF_Batalha;11;36;1;6000;1;Y
806423;Batalha_UOF;36;11;1;6000;1;Y
806174;42_Casa da Musica_Exponor;1112;800407;1;5000;1;Y
804085;UOF_Ermesinde;11;63;2;14700;20;Y
804645;UOF_Mercado da Foz;11;37;2;4400;1;Y
804647;Mercado da Foz_UOF;37;11;2;4800;1;Y
804805;209_Pasteleira_Praca da Galiza;800205;19;1;3840;1;Y
804807;209_Praca da Galiza_Pasteleira;19;800205;1;3350;1;Y
804809;209_Praca da Galiza_Boavista;19;4;1;800;1;Y
804811;209_Casa da Musica_Praca da Galiza;1112;19;1;1160;1;Y
806175;42_Exponor_Casa da Musica;800407;1112;1;5000;1;Y
806176;UOF_Exponor;11;800407;2;3000;1;Y
806177;Exponor_UOF;800407;11;2;3000;1;Y
805252;UOF_Praca Cidade do Salvador;11;800266;2;6000;15;Y
805052;Bolhao_Ermesinde;23;63;2;6000;1;Y
805352;501_Aliados_Boavista;38;4;1;3720;15;Y
805353;501_Boavista_Aliados;4;38;1;3100;15;Y
805372;400_Aliados_S.Bento;38;1026;1;500;1;Y
805392;400-S.Lazaro_Aliados;103;38;1;1340;1;Y
805855;S.Bento_UOF;1026;11;2;8000;1;Y
805874;302_Cordoaria_ Boavista;18;4;1;3000;1;Y
805894;303_Boavista_Cordoaria;4;18;1;3000;1;Y
804691;209_Boavista_Prelada;4;800165;1;3060;1;Y
804693;209_Prelada_Casa da Musica;800165;1112;1;3460;1;Y
804725;UOF_Pasteleira;11;800205;2;3500;1;Y
804727;Pasteleira_UOF;800205;11;2;3800;1;Y
804729;UOF_Prelada;11;800165;2;1600;1;Y
804731;Prelada_UOF;800165;11;2;1600;1;Y
13152;907_Stº Ovidio_Gaiashopping;53;99;1;3150;15;Y
13153;907_Stº Ovidio_Vila d'Este;53;146;1;3910;12;Y
13154;907_Vila d'Este_Stº Ovidio;146;53;1;3430;12;Y
13155;UOF_Vila d'Este;11;146;2;14700;20;Y
13156;Vila d'Este_UOF;146;11;2;12900;20;Y
8985;69_Casa da Musica_Serralves;1112;1246;1;5000;13;Y
8986;69_Serralves_Casa da Musica;1246;1112;1;5000;13;Y
9365;502_Praca da Republica_Casa da Musica;72;1112;1;1700;1;Y
9366;502_Casa da Musica_Pinheiro Manso;1112;305;1;2070;1;Y
12786;Santo Ovidio_UOF;53;11;2;10200;15;Y
12805;UON_Aeroporto;1;107;2;12600;15;Y
9505;207_Lordelo_Mercado da Foz;30;37;1;4480;1;Y
9506;207_Mercado da Foz_Lordelo;37;30;1;4540;1;Y
9507;Mercado da Foz_UON;37;1;2;7800;1;Y
9508;UON_Mercado da Foz;1;37;2;6700;1;Y
805594;505_S.Mamede_Lionesa;39;800327;1;4970;1;Y
9865;UOF_Maia Zoo;11;1306;2;10700;1;Y
9866;Maia Zoo_UOF;1306;11;2;9700;1;Y
805595;505_Lionesa_S.Mamede;800327;39;1;5030;1;Y
9529;304_Vale Formoso_Stª Luzia;1286;65;1;2620;1;Y
9530;304_Stª Luzia_Vale Formoso;65;1286;1;2980;1;Y
9545;305_Cordoaria_Campo 24 Agosto;18;183;1;1820;1;Y
9546;305_Campo 24 Agosto_Cordoaria;183;18;1;2340;1;Y
805596;505_Lionesa_Custoias;800327;151;1;3140;1;Y
12785;UOF_Santo Ovidio;11;53;2;10800;15;Y
13085;Bairro do Amial_UOF;114;11;2;4000;10;Y
805597;505_Custoias_Lionesa;151;800327;1;3030;1;Y
805654;68_Queimodromo_Aliados;1686;38;1;10000;25;Y
806294;501_Aldoar_Matosinhos;13;1106;1;2620;1;Y
13108;UOF_Esposade;11;90;2;7400;15;Y
10065;Infante_UON;67;1;2;8000;1;Y
10066;UON_Alfandega;1;50;2;9000;1;Y
806295;501_Matosinhos_Aldoar;1106;13;1;3230;1;Y
10085;UON_Valadares(estacao);1;163;2;13000;1;Y
10086;Valadares (estacao)_UON;163;1;2;13600;1;Y
10105;UON_Infante;1;67;2;6900;1;Y
10345;12M_Gaiashopping_Santo Ovidio;99;53;1;2250;5;Y
