ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
17065;FLORES;FLORES;41,21692;-8,599556;T;Y;Y;FLO1
14949;MOUTA;MOUTA;41,2113;-8,604284;T;Y;Y;MTA2
14950;MOUTA;MOUTA;41,2113;-8,604103;T;Y;Y;MTA3
17425;PADRE AMÉRICO;PADRE AMÉRICO;41,21935;-8,60472;T;Y;Y;PDAM3
17424;PADRE AMÉRICO;PADRE AMÉRICO;41,21973;-8,604166;T;Y;Y;PDAM2
12889;ANTONIO ALEIXO;ANTONIO ALEIXO;41,21798;-8,614198;T;Y;Y;AAX2
14207;GUEIFÃES (ESC.EB2/3);GUEIFÃES (ESC.EB2/3);41,2145;-8,60011;T;Y;Y;GUFE1
14208;GUEIFÃES (ESC.EB2/3);GUEIFÃES (ESC.EB2/3);41,21443;-8,600342;T;Y;Y;GUFE2
13876;CATASSOL;CATASSOL;41,22029;-8,614239;T;Y;Y;CTSS2
14766;MALMEQUERES;MALMEQUERES;41,20948;-8,605108;T;Y;Y;MALM1
14767;MALMEQUERES;MALMEQUERES;41,20961;-8,605294;T;Y;Y;MALM2
17423;PADRE AMÉRICO;PADRE AMÉRICO;41,21968;-8,603981;T;Y;Y;PDAM1
14210;GUEIFÃES;GUEIFÃES;41,21798;-8,602896;T;Y;Y;GUFS2
17066;FLORES;FLORES;41,21663;-8,599738;T;Y;Y;FLO2
16278;LAGE;LAGE;41,23034;-8,619493;T;Y;Y;LAGE2
16279;LAGE;LAGE;41,23021;-8,619222;T;Y;Y;LAGE3
13977;D. MANUEL II;D. MANUEL II;41,23676;-8,608682;T;Y;Y;DMAN1
13978;D. MANUEL II;D. MANUEL II;41,23693;-8,608513;T;Y;Y;DMAN2
13101;ANTUNES AZEVEDO;ANTUNES AZEVEDO;41,24182;-8,610466;T;Y;Y;ANTZ1
13102;ANTUNES AZEVEDO;ANTUNES AZEVEDO;41,24162;-8,610481;T;Y;Y;ANTZ2
