ID;CODE;COLOR;DEPOTS;SCHEDULE_ID
3981687;8;15702186;0;12182877
3982117;8;16711202;0;12163448
3982118;10;16777090;0;12163448
3982120;5;7453816;0;12182992
3982121;6;15189655;0;12182992
3982122;9;9596590;0;12182992
3982123;2;7424803;0;12182992
3982124;3;12600463;0;12182992
3982125;4;15116503;0;12182992
3982126;7;14592648;0;12182992
3982127;8;16711202;0;12182992
3982128;10;16777090;0;12182992
3982139;1;10145515;0;12182994
3951898;1;16482045;0;12160605
3982140;5;7453816;0;12182994
3982141;6;15189655;0;12182994
3982142;9;9596590;0;12182994
3982143;2;7424803;0;12182994
3982144;3;12600463;0;12182994
3982145;4;15116503;0;12182994
3982146;7;14592648;0;12182994
3982147;8;16711202;0;12182994
3982148;10;16777090;0;12182994
3982927;11;15367773;0;12183258
3982928;12;12600463;0;12183258
3964294;1;8444651;0;12173318
3966220;1;16741688;0;12174654
3966221;2;1615797;0;12174654
3966222;3;13252455;0;12174654
3966223;4;1879160;0;12174654
3966397;1;9802124;0;12174711
3917843;11;3295922;0;12115257
3966398;2;16208788;0;12174711
3969584;6;16764843;0;12177787
3949942;1;16363513;0;12157885
3949943;2;16760200;0;12157885
3949944;1;16363513;0;12157886
3949945;2;16760200;0;12157886
3949946;1;16525383;0;12157887
1938995;2;15783124;0;6039301
1938997;3;12500723;0;6039301
1938999;4;10545312;0;6039301
1939001;1;9369848;0;6039303
1939003;2;15783124;0;6039303
1939005;3;12500723;0;6039303
1939007;4;10545312;0;6039303
1939009;1;9369848;0;6039305
3970835;1;16755404;0;12178276
3970836;2;16730320;0;12178276
3949947;2;14060121;0;12157887
3949948;1;16525383;0;12157888
190921;8;7916920;0;57361
3949949;2;14060121;0;12157888
190939;2;15912946;0;57381
190941;7;16440797;0;57381
190944;8;11908533;0;57381
1939159;5;10480543;0;6039331
1939165;7;6133713;0;6039331
3970480;4;1615797;0;12178197
3970477;1;1722486;0;12178197
3970478;2;14060121;0;12178197
3970479;3;16722731;0;12178197
3970481;5;16730320;0;12178197
3964254;3;13252455;0;12173313
3964255;4;16764843;0;12173313
3970837;3;16760025;0;12178276
3970926;1;16177368;0;12178301
3970927;1;16177368;0;12178302
3970928;1;16177368;0;12178303
3970838;4;4574882;0;12178276
3964252;1;16741688;0;12173313
3970839;5;10322362;0;12178276
3970840;6;13453900;0;12178276
3970876;1;11725917;0;12178295
3970877;2;16756290;0;12178295
3970878;3;4574882;0;12178295
3970879;4;1944790;0;12178295
3970880;5;16733001;0;12178295
3970881;6;16666330;0;12178295
3970882;7;1139892;0;12178295
3970883;8;1615797;0;12178295
3970884;9;10453360;0;12178295
3983636;5;16730320;0;12183533
3977910;1;9596590;0;12180541
3977911;2;16745027;0;12180541
3977912;3;16719310;0;12180541
3978113;5;3295922;0;12180574
3978114;6;13565725;0;12180574
3978115;7;16744265;0;12180574
3981608;1;8444651;0;12182856
3981609;2;7453816;0;12182856
3978116;8;12929932;0;12180574
3971858;1;10658512;0;12178683
1939155;6;16110290;0;6039331
190879;5;10480543;0;57341
190881;3;13882262;0;57341
3978429;1;16745027;0;12180775
190884;4;2268316;0;57341
190916;6;15896720;0;57361
190918;7;12632302;0;57361
3978430;2;16722731;0;12180775
3978199;1;16363513;0;12180632
3978200;2;16760200;0;12180632
3978201;3;16764744;0;12180632
3978431;3;14407634;0;12180775
3978432;4;6125259;0;12180775
3978433;5;6724044;0;12180775
3981610;3;15189655;0;12182856
3979131;1;16745027;0;12181026
3980825;7;2061822;0;12182127
3980826;1;2061822;0;12182129
3980827;2;16443317;0;12182129
3969657;1;11581382;0;12177820
3964327;1;1615797;0;12173275
3964328;2;13395558;0;12173275
3964329;3;10658512;0;12173275
3980828;3;16730320;0;12182129
