ID;ACTIVE;START_TIME;END_TIME;START_NODE;END_NODE;TYPE;SCHEDULE_ID
37005747;Y;76740;78480;1486;28;D;12179025
36985547;Y;48120;58020;60;60;D;12178332
36985548;Y;58020;69180;60;60;D;12178332
36985549;Y;69180;76080;60;11;D;12178332
37076842;Y;33000;39600;18;18;D;12181127
37076843;Y;39600;45240;18;18;D;12181127
37076844;Y;47400;53520;18;18;D;12181127
37076845;Y;53520;58800;18;18;D;12181127
37076846;Y;37380;42660;18;18;D;12181127
37077056;Y;51600;55860;82;82;D;12181134
37077057;Y;34800;38400;82;82;D;12181134
37077058;Y;38400;42000;82;82;D;12181134
37077059;Y;42000;45600;82;82;D;12181134
37077060;Y;45600;49200;82;82;D;12181134
37077061;Y;49200;52980;82;82;D;12181134
37077062;Y;32400;36000;82;82;D;12181134
37077063;Y;36000;39900;82;82;D;12181134
37077064;Y;39900;43200;82;82;D;12181134
37077065;Y;43200;46800;82;82;D;12181134
37077066;Y;46800;50400;82;82;D;12181134
37077067;Y;50400;54420;82;82;D;12181134
37079306;Y;36300;41700;18;18;D;12181180
37077069;Y;65700;65880;82;82;D;12181134
37077070;Y;61080;61200;82;82;D;12181134
37077071;Y;47700;48060;23;23;D;12181134
37077072;Y;63960;64140;23;23;D;12181134
37077073;Y;43080;43320;23;23;D;12181134
37077074;Y;41820;42120;23;23;D;12181134
37077971;Y;21600;22200;1;1;PD;12181159
37077972;Y;25140;30780;9;9;D;12181159
37077973;Y;30780;36300;9;9;D;12181159
37077974;Y;36300;41880;9;9;D;12181159
37077975;Y;22200;25140;1;9;D;12181159
37077976;Y;39120;44580;9;9;D;12181159
37077977;Y;44580;49980;9;9;D;12181159
37077978;Y;49980;55140;9;9;D;12181159
37079307;Y;41700;47040;18;18;D;12181180
37005748;Y;78480;83880;28;1486;D;12179025
37038042;Y;26100;29520;1486;28;D;12179965
37038043;Y;29520;31860;28;1486;D;12179965
37038044;Y;32940;35100;28;1486;D;12179965
37079308;Y;47040;52440;18;18;D;12181180
37080990;Y;20400;24720;11;60;D;12181224
37080991;Y;22500;26940;11;60;D;12181224
37005749;Y;83880;85680;1486;28;D;12179025
36985552;Y;29700;30900;60;60;D;12178332
36985553;Y;30900;39840;60;60;D;12178332
36985554;Y;39840;49380;60;60;D;12178332
36985555;Y;49380;59340;60;60;D;12178332
36985556;Y;59340;70860;60;60;D;12178332
36985557;Y;70860;77100;60;11;D;12178332
36985558;Y;22200;22800;11;11;P;12178332
37080992;Y;24300;29280;11;60;D;12181224
37077984;Y;22500;27900;1;9;D;12181159
37077985;Y;21900;22500;1;1;PD;12181159
37077986;Y;27900;33600;9;9;D;12181159
37077987;Y;33600;39120;9;9;D;12181159
37079316;Y;87960;92040;18;1;D;12181180
37079317;Y;21480;22500;1;18;D;12181180
37077994;Y;76740;77640;9;1;D;12181159
37079318;Y;20880;21480;1;1;P;12181180
37079319;Y;22500;27120;18;18;D;12181180
37079320;Y;27120;32580;18;18;D;12181180
37079321;Y;32580;38100;18;18;D;12181180
37079322;Y;38100;43440;18;18;D;12181180
36985559;Y;30540;32100;60;60;D;12178332
37005750;Y;85680;89100;28;1;D;12179025
37005751;Y;21900;22500;1;1;PD;12179025
37062049;Y;20700;25800;11;23;D;12180777
37062051;Y;45000;51000;23;23;D;12180777
37062053;Y;21900;27000;11;23;D;12180777
37062054;Y;21600;23700;11;23;D;12180777
37062055;Y;46200;52200;23;23;D;12180777
37062056;Y;52200;58200;23;23;D;12180777
37062057;Y;36000;41400;23;23;D;12180777
37062058;Y;53400;59400;23;23;D;12180777
37057520;Y;33720;39780;38;38;D;12180606
37062061;Y;25980;29400;11;23;D;12180777
37062062;Y;24000;25200;11;23;D;12180777
37062072;Y;25800;31800;23;23;D;12180777
37062073;Y;31800;37800;23;23;D;12180777
37062074;Y;37800;43800;23;23;D;12180777
37062075;Y;43800;49800;23;23;D;12180777
37062076;Y;49800;55800;23;23;D;12180777
37057521;Y;34740;40980;38;38;D;12180606
36999601;Y;23700;31080;11;1112;D;12178665
37062077;Y;55800;61800;23;23;D;12180777
37062078;Y;61800;67800;23;23;D;12180777
37062079;Y;67800;72000;23;11;D;12180777
37062080;Y;20100;20700;11;11;P;12180777
37062081;Y;27000;33000;23;23;D;12180777
36853104;Y;44880;46680;68;68;D;12164603
36853105;Y;46680;48480;68;68;D;12164603
36853106;Y;48480;71880;68;68;D;12164603
36853107;Y;71880;72000;68;170;D;12164603
36853108;Y;50280;52080;68;68;D;12164603
36853109;Y;52080;53880;68;68;D;12164603
36853110;Y;53880;55680;68;68;D;12164603
36853111;Y;55680;57480;68;68;D;12164603
36853112;Y;57480;59280;68;68;D;12164603
36853113;Y;59280;61080;68;68;D;12164603
36853114;Y;61080;62880;68;68;D;12164603
36853115;Y;62880;64680;68;68;D;12164603
36853116;Y;64680;66480;68;68;D;12164603
36999602;Y;26160;33540;1112;1112;D;12178665
37057522;Y;41940;48180;38;38;D;12180606
36853117;Y;66480;68280;68;68;D;12164603
