ID;NAME;RULE;OBS;CODE;SHORT_NAME;PRIORITY;DT_RULE;ACTIVE
4;so 26 a 28-03-2018;+EW7;;;;16;+EW7;Y
1;2ª. a 6ª. Feira;+EW2+EW3+EW4+EW5+EW6;;1;DU;1;+EW2+EW3+EW4+EW5+EW6;Y
2;Sabados;+EW7;;2;S;2;+EW7;Y
3;Domingos/Feriados;+EW1;;3;D;3;+EW1;Y
1000002;Z_Sabado de Pascoa;+EW7;E-Sabados;;;12;+EW7;Y
1000003;Z_Feriado 6ªFeiraSanta;+EW1;E-Domingos/Feriados;;;11;+EW1;Y
1000001;so 25-03 e 01-04-2018;+EW2+EW3+EW4+EW5+EW6;E-2ª. a 6ª. Feira;;;15;+EW2+EW3+EW4+EW5+EW6;Y
1000024;Todos os Dias;+EW5+EW6;;;;8;+EW5+EW6;Y
1000025;2ª., 4ª. a 6ª. Feira;+EW2+EW4+EW5+EW6;;;;4;+EW2+EW4+EW5+EW6;Y
1000044;3ª. Feira;+EW3;;;;5;+EW3;Y
4000064;So 24-12 (Feriado);+EW7;;;24-12;9;+EW7;Y
4000065;So 25-12 e 01-01;+EW7;;;NAN;10;+EW7;Y
4000024;z_Indefinido1;+EW7;OPT;;;17;+EW7;Y
4000025;z_Indefinido2;+EW7;OPT;;;18;+EW7;Y
-1;z_Indefinido3;+EW7;OPT;;;19;+EW7;Y
4000001;so 31-03-2018;+EW7;;;;14;+EW7;Y
4000002;Feriado 13-Junho;+EW7;;;;13;+EW7;Y
4000022;so 18-04-2019;+EW7;;;;6;+EW7;Y
4000023;so 19 e 20-04-2019;+EW7;;;;7;+EW7;Y
