ID;NAME;ACTIVE
1000139;Sto. Amaro;Y
4000163;51E-Ascensor Gloria;Y
4;759-Restaur_EOriente;Y
41;755-PBispo_SRios;Y
7;774-COurique_GFreire;Y
4000223;31B-VFormoso_BAlfinetes;Y
42;758-CSodre_PBenfica;Y
25;767-CMPatria_RebolM;Y
43;754-CPequen_AlfragBZ;Y
44;724-Alcant_PontinhR;Y
4000243;32B-AmendM_Circ;Y
50;708-MMoniz_Sacavem;Y
4000263;40B-AChapeleiro_Lumiar;Y
52;781-CSodre_PVelho;Y
53;794-Restaur_EOriente;Y
54;705-EOriente_ERomaAr;Y
4000383;85A-NosAlive;N
66;709-Restaur_COurique;Y
67;742-BMDeus_PUAjuda;Y
68;797-Alameda_Sapador;Y
4000384;85B-NosAlive;N
70;736-CSodre_OdivB;Y
72;793-Marvila_ERoma-Ar;Y
1000159;757-BChapeleira_Circ;N
90;701-CGrandM_COurique;Y
4000385;85C-NosAlive;N
96;723-Desterro_Alges;Y
97;716-Alameda_Benfica;Y
98;702-MPombal_SerafinI;Y
99;731-AJMalhoa_MoscavC;Y
100;726-Sapador_PontinhC;Y
101;776-Alges_CQuebrada;Y
102;712-EStApoln_AlcantM;Y
104;91-CSodre_Aerop;N
109;711-SSueste_ADamaia;Y
110;713-Alameda_ECampol;Y
112;717-PChile_Fetais;Y
113;718-ISEL_ERomaAr;Y
114;725-EOriente_PVelho;Y
116;727-ERomaAr_Restelo;Y
118;729-BPCruz_Alges;Y
119;730-Picheleir_PJFontana;Y
120;735-CSodre_HStMaria;Y
4000386;85D-NosAlive;N
122;737-PFigueir_Castelo;Y
123;738-EstrLuz_AStAmaro;Y
126;744-Restaur_MoscavL;Y
128;748-MPombal_LVelha;Y
129;750-EOriente_Alges;Y
130;751-ECampol_LVelha;Y
4000423;76B-BoaHora_Circ;Y
132;753-PJFontana_CentrS;Y
133;756-Olaias_RJunqueir;Y
134;764-CUnivers_DamaiaC;Y
135;765-CMilitM_PBenfica;Y
4000424;79B-Alges_Circ;Y
4000703;64B-COurique_CircQL;Y
4000704;65B-COurique_CircRt;Y
4000843;17B-Alameda_Circ;Y
140;782-CSodre_MoscavQ;Y
141;783-Amoreirs_PV-Port;Y
4000883;98D-AlcantM_Circ;N
4000943;82A-SonarByNight;N
4001003;86A-Brunch_Recinto;Y
146;796-CGrandeM_Galinhe;Y
147;798-CGrandeM_Galinhe;Y
148;720-Picheleir_ASAmar;Y
