ID;GLINE_VERSION_ID;NODE_ID;NODE_STATUS_ID
4015975;4000383;92;3
4015976;4000383;70;3
4015977;4000383;25;1
4015598;4000643;25;1
4016315;4001063;148;3
4016316;4001063;64;1
4015599;4000643;4000662;3
4015600;4000643;70;3
4010779;4000503;4000562;4
4010780;4000503;35;3
4010781;4000503;35;2
4010782;4000503;26;1
4010855;97;26;1
4010856;97;57;3
4010857;97;65;2
4010858;97;65;3
4010859;97;114;4
4010860;97;122;3
4005955;1000123;29;4
4015601;4000643;56;3
4015602;4000643;4000662;2
4015603;4000643;70;2
4015604;4000883;95;3
4005956;1000123;37;3
4005957;1000123;50;4
4005958;1000123;55;3
4005959;1000123;55;4
4005960;1000123;64;1
4005961;1000123;70;3
4005962;1000123;85;4
4014395;4000583;70;3
4006095;129;20;2
4010375;128;25;1
4010376;128;85;2
4010377;128;85;3
4010378;128;121;2
4014396;4000583;417;4
4004760;4000163;4000343;1
4015984;4000384;92;3
4015985;4000384;85;3
4015986;4000384;25;1
4016317;4001063;4000862;3
4004761;4000163;88;2
4004762;4000163;88;3
4004763;4000163;4000342;2
4014397;4000583;25;1
4014398;4000583;70;2
4014399;4000583;1000007;1
4016295;4000123;64;1
4016296;4000123;70;3
4015619;4000923;25;1
4004764;4000163;4000342;3
4006096;129;20;3
4006097;129;25;1
4006098;129;92;2
4006099;129;92;3
4006100;129;148;3
4006101;129;191;3
4010861;97;122;2
4010862;97;150;3
4010863;97;1000409;3
4010864;97;50;4
4010865;97;1000409;2
4010866;97;50;2
4015036;123;31;3
4015037;123;53;2
4015038;123;56;3
4013587;4000683;150;3
4013588;4000683;50;3
4013589;4000683;26;1
4013255;4000703;24;3
4013256;4000703;24;2
4015620;4000923;149;3
4015621;4000923;311;3
4015605;4000883;95;2
4015606;4000883;1000120;4
4016297;4000123;4000242;3
4008215;72;9;4
4008216;72;13;4
4008217;72;64;1
4008218;72;65;3
4008219;72;89;3
4008220;72;126;2
4008221;72;126;3
4008222;72;7;1
4013257;4000703;4000762;4
4010379;128;121;3
4016395;126;7;1
4016396;126;53;2
4016397;126;64;1
4015039;123;85;4
4013555;4000843;1000409;3
4013556;4000843;1000409;2
4013557;4000843;93;4
4013558;4000843;64;1
4014995;118;26;1
4013258;4000703;25;1
4013259;4000704;24;2
4013260;4000704;24;3
4013035;101;25;1
4013036;101;92;2
4013037;101;92;3
4014996;118;37;3
4014997;118;55;2
4014998;118;55;3
4014999;118;92;3
4015040;123;413;3
4015041;123;56;2
4015042;123;25;1
4016398;126;148;4
4016399;126;372;4
4016400;126;1000122;3
4016401;126;88;3
4016402;126;148;2
4015000;118;111;2
4015001;118;1000120;4
4015981;4000386;92;3
4015982;4000386;84;3
4015983;4000386;25;1
4015987;4000385;92;3
4015988;4000385;148;3
4015989;4000385;25;1
4015002;118;110;4
4015607;4000883;1000007;1
4015608;4000883;25;1
4015003;118;110;3
4015004;118;111;3
4013038;101;111;3
4013039;101;139;3
4013075;119;26;1
4013076;119;141;2
4015051;67;49;2
4015052;67;49;4
4011995;4000663;148;3
4011996;4000663;38;3
4011997;4000663;148;2
4011998;4000663;38;2
4011999;4000663;64;1
4013590;4000683;50;2
4013591;1000319;7;1
4013592;1000319;105;3
4013593;1000319;1000269;3
4013594;1000319;105;2
4013595;104;7;1
4015135;41;43;4
4015136;41;50;2
4015137;41;50;3
4015138;41;63;3
4015139;41;64;1
4015140;41;127;2
4015141;41;1000249;4
4013077;119;141;3
4013078;119;125;3
4013079;119;1000113;4
4013080;119;1000349;4
4013261;4000704;25;1
4013262;4000704;1000125;4
4013596;104;70;3
4013597;104;105;2
4013598;104;105;3
4013599;104;70;2
4015053;67;64;1
4014195;54;64;1
4014196;54;126;2
4014197;54;126;3
4014198;54;148;3
4014199;54;312;4
4014200;54;1000114;4
4014201;54;7;1
4014202;54;148;2
4015005;118;1000111;4
4015006;118;1000111;3
4015007;118;25;1
4015054;67;65;2
4015055;67;74;3
4015056;67;110;3
4015057;67;1000119;4
4015142;41;7;1
4006415;1000010;69;4
367;140;7;1
368;140;64;1
369;140;70;3
370;140;1000128;4
371;140;1000289;4
372;140;1000290;3
4004215;4000143;4000263;2
4013175;150;25;1
4013176;150;41;3
4004216;4000143;4000263;3
4013177;150;43;3
4013178;150;53;2
4006416;1000010;1000007;1
4006417;1000010;1000009;2
4006418;1000010;1000009;3
4006419;1000010;1000011;3
398;147;60;3
399;147;64;1
400;147;129;2
401;147;129;4
402;147;138;3
403;147;415;3
4014075;179;17;3
4014076;179;25;1
4014077;179;41;4
4007035;4000203;64;1
4007036;4000203;129;3
4007037;4000203;121;3
4016155;4000125;64;1
4016156;4000125;148;3
4016157;4000125;4000242;3
4014078;179;69;4
4014079;179;83;3
4014080;179;84;3
4014081;179;111;3
4014082;179;149;2
4014083;179;17;2
4016095;156;25;1
4016096;156;29;4
4013179;150;53;4
4004217;4000143;4000262;2
4004218;4000143;4000262;3
4004219;4000143;4000322;1
4016097;156;39;3
4013180;150;56;2
4013181;150;56;4
4013182;150;457;4
4016215;4001023;85;3
4016216;4001023;64;1
4016217;4001023;4000922;3
4016195;4000983;126;3
4008495;1000139;1000010;2
4008496;1000139;457;2
4008497;1000139;1000012;2
4008498;1000139;47;2
4008499;1000139;17;2
4008500;1000139;171;2
4008501;1000139;1000009;2
4016196;4000983;4000242;3
4016197;4000983;64;1
4016535;1000126;7;1
4016536;1000126;9;4
4008502;1000139;1000007;1
4008503;1000139;56;2
4008504;1000139;70;2
4008505;1000139;149;2
4016537;1000126;64;1
4016538;1000126;65;4
4016539;1000126;70;3
4016540;1000126;105;4
4008506;1000139;4000282;2
4016541;1000126;127;4
