LINE_VERSION_ID;PATH_ID;ID;ORIENTATION;INTERNAL
1000562;12273;3534;2;N
1000008;4003280;6548;0;Y
1000008;4003281;6549;0;Y
1000008;4004000;6550;1;N
1000008;4004001;6551;2;N
4000281;1025314;4158;2;N
4000281;4001975;4159;2;N
4001368;4007540;12568;3;N
1000272;1024745;2571;2;N
1000562;12274;3535;1;N
4000828;4005380;13568;1;Y
4000828;4005381;13569;2;Y
4001169;4007220;11849;3;N
1000272;1024746;2573;1;N
1000373;1024747;13088;1;N
4001168;4007200;11848;3;N
4000281;4001973;4160;1;N
4000281;1025313;4161;1;N
1000412;4002529;6951;1;N
1000412;4002531;6952;2;N
1000412;4004561;6953;3;N
4000850;4005440;13576;1;Y
4000850;4005441;13577;2;Y
94;1024727;13048;2;N
94;1024728;13049;1;N
4000828;4005403;13570;2;Y
4000828;4005460;13571;1;Y
4001328;4007380;12008;3;N
65;1025153;12368;1;N
4000848;4005420;13572;1;Y
4000848;4005421;13573;2;Y
65;1025154;12369;2;N
65;4003981;12370;2;N
65;4005240;12371;1;N
65;4005241;12372;2;N
65;4005960;12373;1;Y
65;4005961;12374;2;Y
1000373;1024748;13089;2;N
4000441;4005341;13108;2;Y
4000441;4005340;13109;1;Y
4000441;4007040;13110;1;N
4000481;4002401;6648;1;N
4000481;4002403;6649;2;N
4000849;4005400;13574;1;Y
4000849;4005401;13575;2;Y
4000441;4007041;13111;2;N
4000441;4007660;13112;2;Y
1000008;4004280;6552;1;N
1000008;4004281;6553;2;N
1000008;4004420;6554;1;Y
1000008;4004421;6555;2;Y
76;1024853;6948;2;N
76;1024854;6949;1;N
76;4004560;6950;3;N
94;1024729;13050;2;N
94;4000723;13051;1;N
4000441;4007661;13113;1;Y
1000212;4001405;1201;0;N
1000212;4001407;1203;0;N
1000212;4001441;1205;0;N
4000241;1025936;13228;2;N
4000241;4000801;13229;1;N
4000241;1024837;13230;1;N
94;4000721;13052;1;N
94;12666;13053;2;N
94;4006620;13054;1;Y
4000241;1024838;13231;2;N
94;4006621;13055;2;Y
130;4001841;13068;1;N
130;4001843;13069;2;N
130;4007100;13070;1;N
130;4007101;13071;2;N
4000241;4007140;13232;2;Y
4000241;4007160;13233;1;Y
4000241;4007161;13234;2;Y
1000212;1025774;1199;0;N
1000212;1025773;1207;0;N
1000100;1026107;13595;1;N
1000100;1026108;13596;2;N
1000315;1024993;13168;1;N
1000315;1024994;13169;2;N
1000100;4007862;13597;2;Y
4000523;1024688;13468;2;N
4000523;1024689;13469;1;N
4000523;1024690;13470;2;N
4000523;4003680;13471;1;N
4000523;4005560;13472;1;N
4000523;4005561;13473;2;N
4000523;4007180;13474;1;N
4000523;4007640;13475;1;Y
4000523;4007641;13476;2;Y
1000392;1024790;13208;1;N
1000392;1024791;13209;2;N
4000245;1026114;2485;2;N
4000245;1026116;2487;2;N
1000392;1024792;13210;1;Y
1000392;1024793;13211;2;Y
1000392;4001205;13212;2;Y
1000392;4006600;13213;1;Y
1000392;4001207;13214;1;Y
1000392;4006601;13215;2;Y
1000392;4006920;13216;2;Y
1000392;4006921;13217;1;Y
1000100;4007860;13598;1;Y
4000245;1026113;2489;1;N
