ID;SEG_ID;PATH_VERSION_ID;LENGTH;PTSG_ORDER
4029590;1004126;1026103;1249;5
4012327;4001201;4004200;1848;2
4029591;1004129;1026103;5067;6
4029592;1907;4004122;1500;1
4029593;1003081;4004122;4228;2
4012328;1000682;4004200;1490;3
4012336;1004215;4004201;780;1
4029594;1055;4004122;4480;3
4024167;4004314;4006260;3855;2
4024186;4004315;4006261;3825;1
4024187;997;4006261;2828;2
4029595;4002875;4004122;5005;4
4029596;1907;4004440;1500;1
4029597;1003081;4004440;4228;2
4029598;1055;4004440;4480;3
4012337;1000678;4004201;2410;2
4012338;1000681;4004201;1535;3
4012339;4001203;4004201;1929;4
4016226;4001601;4002009;1921;1
4016227;4001605;4002009;1800;2
4016228;4001607;4002011;1907;1
4016229;4001603;4002011;1292;2
4029766;4005414;4007720;13200;1
4007066;1003484;4003179;2620;1
4007067;1003482;4003179;1722;2
4007068;4002373;4003179;2264;3
4030566;4000047;4005241;5498;1
4030506;4002456;4003322;5086;1
4030750;1003721;4007860;2391;1
4030751;1000832;4007860;1973;2
4029626;1000931;1024812;1958;1
4029627;1003303;1024812;1991;2
4029628;1000671;1024812;426;3
4029629;1000404;1024812;1593;4
4029630;1000637;1024812;4450;5
4029646;1000672;4006180;786;1
4029647;4004254;4006180;7327;2
4007074;1000045;4003159;946;1
4007075;1003484;4003159;2620;2
4007076;1003482;4003159;1722;3
4007077;4002373;4003159;2264;4
4012340;1003142;4004201;2880;5
4016268;1004141;1026115;4376;1
4016269;1004143;1026115;4846;2
4023906;1000045;4003821;946;1
4023907;1000176;4003821;1714;2
4016949;1013;1024749;1385;1
4016950;1021;1024749;3258;2
4016951;1492;1024749;4176;3
4023908;1000235;4003821;906;3
4023909;1003482;4003821;1686;4
4020846;1002781;1024707;2460;1
4029648;1003223;4006180;3039;3
4002933;4001565;4001965;10700;1
4002935;4001567;4001967;10700;1
4023910;1789;4003821;2210;5
4029649;1355;4006180;556;4
4029650;1000462;1025177;786;1
4029651;1003221;1025177;7327;2
4004441;4001763;4002203;3200;1
4004443;4001761;4002201;3620;1
4020847;1000509;1024707;1920;2
4006041;4002325;4003089;8878;1
4006043;4002327;4003091;8892;1
4006210;950;12638;1910;1
4029652;1003223;1025177;3039;3
4006250;834;12216;7727;1
4029653;1355;1025177;556;4
4029654;1003221;4004460;8008;1
4029655;1003223;4004460;3039;2
4029656;1355;4004460;556;3
4030752;1004134;4007860;1895;3
4006251;1078;24669;7254;1
4006252;318;2388;5589;1
4006253;1001279;1022944;7213;1
4006254;1001280;1022945;6693;1
4006255;319;2389;6456;1
4023911;1790;76404;3105;1
4023912;1789;76402;2022;1
4023915;1003483;1025475;2521;3
4024426;421;4001241;4134;1
4024427;4000961;4001241;3585;2
4024428;1000470;4001241;4438;3
4024429;1001520;4001241;4770;4
4024430;1001519;4001243;5275;1
4024431;1000469;4001243;4574;2
4024432;4000963;4001243;2608;3
4024433;419;4001243;4508;4
4024506;4002041;4002603;5559;1
4024507;4002081;4002603;2843;2
4024508;997;4002603;4632;3
4024509;1000839;4002603;1457;4
4030753;1000775;4007860;2314;4
4030567;4000043;4005241;899;2
4029666;4004254;1025181;7398;1
4029667;1003223;1025181;3039;2
4016946;1491;1024750;4137;1
4016947;1020;1024750;3017;2
4016948;1012;1024750;1417;3
4029668;1355;1025181;556;3
4024586;1000682;1024794;1237;1
4029669;4004254;1025183;8008;1
4029670;1003223;1025183;3039;2
4029671;1355;1025183;556;3
4030258;4005575;4007901;956;1
4030259;4005578;4007903;7936;1
4030507;4002457;4003323;4600;1
4029712;4004755;4006721;10910;1
4029713;4004754;4006720;11030;1
4030254;4005574;4007900;956;1
4030526;4002454;4003320;11580;1
4020840;1001639;4004682;2983;1
4020841;250;4004682;4699;2
4030256;4005577;4007902;7960;1
4030527;4002455;4003321;11560;1
4030546;1003208;1025154;4641;1
4030547;1003204;1025154;6850;2
4030548;1003202;1025154;2729;3
4030568;1003208;4003981;4641;1
4030569;1003204;4003981;6798;2
4030570;4000043;4003981;780;3
4030571;4000047;4005961;5927;1
4030572;1003202;4005961;2724;2
4030586;4005654;4007960;4821;1
4030606;4005674;4007980;12000;1
4030588;4005655;4007961;4835;1
4030589;4005656;4007962;7198;1
4030590;4005657;4007963;7325;1
4030646;4005555;4007841;4600;1
4012126;4003014;4004340;6850;1
4012329;1000677;4004200;2890;4
4012330;1004214;4004200;780;5
4012331;1003141;4004202;3050;1
4012332;4001201;4004202;1848;2
4012333;1000682;4004202;1490;3
4012334;1000677;4004202;2890;4
4012335;1000807;4004202;780;5
4012341;1000808;4004203;780;1
4012342;1000678;4004203;2410;2
4012343;1000681;4004203;1535;3
4012344;4001203;4004203;1929;4
4012345;1003142;4004203;2880;5
4030626;4005675;4008000;10000;1
4030647;4005554;4007840;3000;1
4012364;1492;4004220;3910;1
4030754;1147;4007860;3083;5
4017006;4003534;4004960;15000;1
4030726;1003721;4005860;2199;1
4024587;1000677;1024794;1896;2
4024588;1000807;1024794;1292;3
4017007;4003535;4004961;15000;1
4030727;1539;4005860;3442;2
4030728;290;4005860;1235;3
4030729;1004123;4005860;5476;4
4012365;1000630;4004220;2090;2
4012366;1003365;4004220;3890;3
4012367;1003366;4004221;3750;1
4012368;1000629;4004221;2110;2
4012369;1491;4004221;3910;3
4024589;1000808;1024795;780;1
4024590;1000678;1024795;2410;2
4024591;1000681;1024795;1535;3
4017152;1003201;1025153;2563;1
4017153;1003203;1025153;6201;2
4017154;1003207;1025153;5412;3
4030730;1004125;4005860;1518;5
4030731;1001801;4005860;3317;6
4030732;1001819;4005860;2340;7
4024598;1000807;1024353;1292;1
4024599;1000808;1024352;1331;1
4024600;1000682;4006780;1237;1
4024601;1000677;4006780;1896;2
4012384;1000751;4004360;3200;1
4012385;1003104;4004360;4280;2
4012386;1003102;4004360;5870;3
4012387;1003101;4004361;5150;1
4012388;1003103;4004361;4160;2
4012389;1000750;4004361;3830;3
4024602;1004214;4006780;926;3
4024603;1004215;4006781;941;1
4024604;1000678;4006781;2077;2
4024605;1000681;4006781;1532;3
4030739;1003721;1026102;2199;1
4030740;1539;1026102;3442;2
4030741;290;1026102;1235;3
4030742;1004123;1026102;5476;4
4030743;1003721;1026107;2391;1
4030744;1000832;1026107;1973;2
4030745;1004134;1026107;1895;3
4024606;1000682;1026176;1228;1
4024607;1000677;1026176;1896;2
4024608;1004214;1026176;926;3
4030746;1000775;1026107;2314;4
4024609;1004215;1026177;941;1
4024610;1000678;1026177;2077;2
4030747;1147;1026107;3083;5
4030748;1004137;1026107;1757;6
4030749;1004139;1026107;3927;7
4014173;1003901;4004102;2970;1
4014174;1003903;4004102;4040;2
4016806;4003474;4004900;800;1
4014175;4002854;4004102;2359;3
4016807;4003475;4004900;1600;2
4016886;1003981;1025995;6410;1
4016906;942;12631;12389;1
4029786;4005434;4007740;10000;1
4030755;1004083;4003680;2587;1
4030756;1001166;4003680;5220;2
4016828;4003474;4004901;802;1
4016829;1003542;4004901;1338;2
4030757;1479;4003680;2396;3
4030758;1851;4003680;7286;4
4030759;1853;4003680;5401;5
4013949;1706;1024708;1770;1
4013950;1002782;1024708;2505;2
4014176;1002721;4004100;4900;1
4030760;1215;4007180;8350;1
4030761;1479;4007180;2070;2
4012726;4003034;4004420;1202;1
4012727;1002861;4004420;1585;2
4016866;1002599;1024424;10000;1
1387;1003881;1025893;4500;1
4012728;1000043;4004420;900;3
4012729;1000045;4004421;946;1
4030762;1851;4007180;8150;3
4016926;1002600;1024425;10000;1
4016927;1003982;1025996;6440;1
4016928;944;12633;12117;1
1394;1004106;1026075;5500;1
1395;1004107;1026076;5500;1
1396;1004104;1026073;5000;1
1397;1004105;1026074;5000;1
4030763;1853;4007180;4020;4
4030764;1479;1024689;2459;1
4026786;1003802;4007160;1760;1
4026787;1002925;4007160;2720;2
1402;1001311;1025235;12780;1
1403;1001310;1025236;12780;1
4012730;1002862;4004421;1536;2
4012731;331;4004421;1355;3
4030765;1851;1024689;7351;2
4030766;1853;1024689;4291;3
4030793;1003721;1025715;2288;1
4030794;1003681;1025715;1783;2
4030786;1215;4005560;8350;1
4010230;4002734;4003880;248;1
4010231;4002735;4003881;248;1
4030026;4005474;4007800;15708;1
2;1766;74522;8350;1
3;1002519;1024332;8350;1
4030946;481;7366;1590;1
4028670;1000795;1024824;993;1
4028671;1000662;1024824;1584;2
4030947;993;7366;3100;2
4006374;1001803;1023528;4866;1
4006371;995;12749;3233;1
4030888;4000601;4000723;3203;1
4029926;4003154;4007780;601;1
4006375;1001804;1023529;3675;1
4006376;1003688;1025718;5738;1
4029927;840;4007780;2550;2
4028672;1000663;1024824;2219;3
4006378;219;1871;4533;1
4006379;220;1872;5667;1
4028673;1808;1024824;3490;4
4030906;1108;4005820;4986;1
4029928;1003301;4007780;2590;3
4029929;4002494;4007780;2285;4
4018628;1002862;4005140;1460;1
4018629;1004042;4005140;3160;2
4030907;4004034;4005820;3806;2
4030926;4004035;4005821;3753;1
4030927;1109;4005821;4815;2
4028893;1003584;1025616;9358;1
4018646;1002862;4005160;1460;1
4018647;1002880;4005160;2530;2
30;1002543;1024356;7891;1
31;1002544;1024357;7968;1
32;1396;1024358;8937;1
33;1397;1024359;9502;1
4030889;1185;4000723;2595;2
4020268;4003954;4005660;12223;1
4030948;1006;30206;4650;1
4031527;239;4003258;1924;1
4031528;1160;4003258;4644;2
4030986;994;12747;3454;1
4030987;479;12747;1362;2
4023186;4004334;4006280;500;1
4031486;1160;4008140;4850;1
4019352;1186;1025186;2672;1
4019353;1003225;1025186;3687;2
4019354;1002820;1025186;8036;3
4016306;1004144;1026116;4959;1
4016307;1004142;1026116;4456;2
4016326;4003394;4004820;4500;1
4016346;4003414;4004840;9312;1
50;1714;1024406;7880;1
51;1715;1024407;8455;1
52;275;1024408;7516;1
53;276;1024409;8013;1
54;986;12742;8015;1
55;365;1024410;5920;1
56;367;1024411;7690;1
4016347;4003415;4004841;9604;1
4019355;1104;1025186;1913;4
4031546;1002659;1025313;838;1
4028849;4000441;4000481;7686;1
61;1003687;1025717;6128;1
4022126;1002879;1024789;2747;1
4019359;1103;1025185;1907;1
4019360;1002819;1025185;7555;2
4019361;1003226;1025185;3723;3
4019362;1185;1025185;2595;4
67;1002640;1024486;17087;1
68;1002639;1024487;12375;1
4022127;1002881;1024789;4539;2
71;1002641;1024490;8000;1
72;1002642;1024491;8000;1
73;1002643;1024492;11642;1
4022128;1002883;1024789;3668;3
4031626;1002659;1024508;838;1
4031646;4005734;4008160;5600;1
4022129;1000691;1024789;2140;4
4028850;1000795;4001161;1046;1
4028851;1000662;4001161;1619;2
80;1002644;1024495;7500;1
81;1002645;1024496;7500;1
4028852;1000663;4001161;2184;3
4016530;1000475;1024745;2491;1
4016531;1000836;1024745;3263;2
4028853;1808;4001161;2964;4
86;1002662;1024506;5880;1
87;1002661;1024507;5270;1
4028854;1003581;4001161;2657;5
4029506;1140;1026105;3765;1
4029507;290;1026105;1167;2
4029508;1002504;1026105;6673;3
4023187;4004335;4006281;500;1
4029509;1004130;1026105;2617;4
4031526;1159;4008141;4750;1
4031529;4002412;4003258;4139;3
4031530;4002413;4003259;3723;1
4031531;1159;4003259;5050;2
4031532;244;4003259;2100;3
4028869;1003583;1025615;12054;1
4029930;1001020;4007780;2730;5
4031547;1003341;1025313;6380;2
4031548;1003343;1025313;6277;3
4022849;1354;1025182;583;1
4022850;1003224;1025182;4185;2
105;1134;1024624;1578;1
106;1135;1024625;1237;1
4022851;4004255;1025182;7066;3
4030033;4004620;4006563;952;1
4030034;4004619;4006562;993;1
4030046;4005494;4007801;5164;1
4022855;1354;1025184;583;1
4022856;1003224;1025184;4185;2
4022857;4004255;1025184;7704;3
4028870;1003747;1025761;12848;1
115;524;1024666;3749;1
4028871;1003646;1025676;9950;1
4013636;1254;4004481;891;1
4013637;1000473;4004481;3038;2
4028872;1000953;4002563;1570;1
4028873;1002914;4002563;2990;2
4022866;1354;1025178;583;1
