ID;NAME;EMPTY;TYPEVALUE;OLD_TYPEVALUE
1025433;EOriente_PVelhoFS;N;0;0
1025434;PVelho_EOrienteFS;N;0;0
1025435;Mg(Est)_AlgesJ;Y;1;0
1025436;AlgesJ_Mg(Est);Y;1;0
1025437;Mf(Est)_AlgesJ;Y;1;0
1025438;AlgesJ_Mf(Est);Y;1;0
1025439;Mg(Est)_PFigueir;Y;1;0
1025440;PFigueir_Mg(Est);Y;1;0
1025453;ECampol_BelemJ;N;0;0
1025454;BelemJ_ECampol;N;0;0
1025473;MMoniz=Prazeres;N;0;0
1025474;Prazeres=MMoniz25E;N;0;0
1025475;MMoniz=Estrela;N;0;0
1025476;Estrela=MMoniz;N;0;0
1025477;Graca=Estrela;N;0;0
1025478;Estrela=Graa;N;0;0
1026075;CREst_BelemP;Y;1;0
1026076;BelemP_CREst;Y;1;0
1025593;MMoniz=RConceic;N;0;0
1025594;RConceic=MMoniz;N;0;0
1025595;Graca=RConceic;N;0;0
1025596;RConceic=Graca;N;0;0
1026033;ISEL=Alameda;N;0;0
1026034;Alameda=ISEL;N;0;0
1026035;CREst_Alameda;Y;1;0
1026036;Alameda_CREst;Y;1;0
1026061;Mf(Est)_PLondres;Y;1;0
1026062;PLondres_Mf(Est);Y;1;0
1026063;CSodre_LVelhaSA;N;2;0
1026064;LVelha_CSodreSA;N;2;0
1026135;Mg(Est)_Entrecp;Y;1;0
1026136;Entrecp_Mg(Est);Y;1;0
1026137;CREst_Entrecp;Y;1;0
1026138;Entrecp_CREst;Y;1;0
4003940;Pt(Est)_PLondres;Y;1;0
4003941;PLondres_Pt(Est);Y;1;0
4004480;ECampol_StAmaro;N;0;0
4004481;StAmaro_ECampol;N;0;0
4004520;INDEFINIDO;Y;1;0
4004580;Mg(Est)_Musgueira;Y;1;0
4004581;Musgueira_Mg(Est);Y;1;0
1025835;AvJMalhoa_CREst;Y;1;0
1025873;MMoniz=PNacoesN;N;0;0
1025874;PNacoesN=MMoniz;N;0;0
1025875;PChile=PNacoesN;N;0;0
1025876;PNacoesN=PChile;N;0;0
4005000;Fetais=PChile_Ref718;N;0;0
4005020;ISEL=Alameda_Ref718;N;0;0
4005021;Alameda=ISEL_Ref718;N;0;0
1025995;Mf(Est)_Junqueira;Y;1;0
1025996;Junqueira_Mf(Est);Y;1;0
1025553;Picheleir_PJFontana;N;0;0
1025554;PJFontana_Picheleir;N;0;0
1025602;RConceic=PLCamoes;N;0;0
1025603;PLCamoes=RConceic;N;0;0
1025733;CSanto_Pt(Est);Y;1;0
1025953;CREst_Saldanha;Y;1;0
1025954;Saldanha_CREst;Y;1;0
1026093;CSodre=BPCruz;N;0;0
1026094;BPCruz=CSodre;N;0;0
1026095;PontinhM=CSodre;N;0;0
1026096;Mg(Est)_BPCruz;Y;1;0
1026097;BPCruz_Mg(Est);Y;1;0
1026102;CSodre_Musgueira;N;0;0
1026103;CSodre_Fetais;N;0;0
1026104;Fetais_CSodre;N;0;0
1026105;CSodre_EOriente;N;0;0
1026106;EOriente_CSodre;N;0;0
1026107;CSodre_PVelho210;N;0;0
1026108;PVelho_CSodre210;N;0;0
4005040;MPombal=BelemJ;N;0;0
4005041;BelemJ=MPombal;N;0;0
1026015;Mg(Est)_PBenfica;Y;1;0
1026016;PBenfica_Mg(Est);Y;1;0
1025793;Alameda_Mf(Est);Y;1;0
1025794;Mf(Est)_Alameda;Y;1;0
1025795;Alameda_Pt(Est);Y;1;0
1025796;Pt(Est)_Alameda;Y;1;0
4005360;PFigueir_QPaizinho;N;0;0
4005361;QPaizinho_Mf(Est);Y;1;0
1025975;Mg(Est)_PLondres;Y;1;0
1025976;PLondres_Mg(Est);Y;1;0
1025977;CREst_PLondres;Y;1;0
1025978;PLondres_CREst;Y;1;0
4005600;BoaHora_Mf(Est);Y;1;0
4005601;Mf(Est)_BoaHora;Y;1;0
4006000;Alges=CRuivo;N;0;0
4006020;Lumiar=Charneca;N;0;0
1026160;Pt(Est)_SSebast;N;1;0
1026161;SSebast_Pt(Est);N;1;0
4006021;Charneca=Lumiar;N;0;0
1026163;EOriente=PNacoesN;N;0;0
1026164;EStApoln_AlcantM-I;N;0;0
