ROUTE_VERSION_ID;TRACK_ID;RTTR_ORDER
2977;128;0
40;776;0
40;607;1
40;777;2
40;778;3
40;9956;4
40;6036;5
40;823;6
40;824;7
40;825;8
40;826;9
40;827;10
40;828;11
40;787;12
40;788;13
40;789;14
40;790;15
40;791;16
40;792;17
40;793;18
40;794;19
40;795;20
40;796;21
40;797;22
40;798;23
40;799;24
40;800;25
40;801;26
40;802;27
40;803;28
40;804;29
40;805;30
40;806;31
40;807;32
40;808;33
40;809;34
40;810;35
40;811;36
40;812;37
40;813;38
40;814;39
40;815;40
40;816;41
40;817;42
2977;129;1
2977;130;2
2977;131;3
2977;132;4
2977;540;5
2977;541;6
2977;542;7
2977;543;8
2977;544;9
2977;545;10
2977;546;11
2977;547;12
2977;2327;13
2977;2328;14
2977;549;15
2977;550;16
2977;4136;17
2997;12476;0
2997;2230;1
2997;2231;2
2997;2232;3
2997;2233;4
2997;107;5
2997;108;6
2997;109;7
2997;110;8
2997;111;9
2997;112;10
2997;113;11
2997;12496;12
3017;141;0
3017;142;1
3017;143;2
3017;144;3
3017;145;4
3017;146;5
3017;147;6
3017;148;7
3017;149;8
3017;150;9
3017;151;10
3017;12516;11
3017;12517;12
3017;154;13
3017;155;14
3017;156;15
3017;157;16
3017;158;17
3017;159;18
3017;160;19
3017;161;20
3017;162;21
3017;163;22
3037;12856;0
3037;6396;1
3037;4716;2
3037;10518;3
3057;10519;0
3057;4737;1
3057;10520;2
3057;12576;3
3057;12596;4
3057;12556;5
3077;11357;0
3077;11358;1
3077;12576;2
3077;12596;3
3077;12616;4
3077;12617;5
3097;607;0
3097;777;1
3097;2430;2
3117;12636;0
3117;1432;1
3117;1525;2
3117;12656;3
3117;284;4
3117;285;5
3117;286;6
3117;287;7
3117;288;8
3117;289;9
3117;290;10
3117;5636;11
3117;5577;12
3117;293;13
3117;294;14
3117;295;15
3117;296;16
3117;2239;17
3117;8996;18
3117;690;19
3117;1932;20
43;869;0
43;870;1
43;871;2
43;872;3
43;873;4
43;874;5
43;875;6
43;876;7
43;877;8
43;7596;9
44;7616;0
44;879;1
44;880;2
44;881;3
44;882;4
44;883;5
44;884;6
44;885;7
44;886;8
44;887;9
45;889;0
45;890;1
45;891;2
45;892;3
45;893;4
45;894;5
46;4597;0
46;939;1
46;940;2
46;7439;3
46;896;4
47;901;0
47;902;1
47;903;2
47;904;3
47;905;4
47;906;5
47;907;6
47;908;7
47;909;8
47;910;9
47;911;10
47;912;11
47;913;12
47;914;13
47;915;14
47;622;15
47;916;16
47;2642;17
47;8916;18
47;920;19
47;921;20
47;922;21
47;923;22
47;924;23
47;925;24
47;926;25
47;927;26
47;928;27
47;929;28
47;930;29
47;372;30
47;931;31
47;932;32
47;933;33
47;892;34
47;893;35
47;894;36
47;934;37
47;935;38
47;936;39
47;573;40
47;2153;41
