ID;NAME;START_NODE_ID;END_NODE_ID;SEG_TYPE_ID;DEFAULT_LENGTH;AVG_DURATION;VISIBLE
1000677;Campol_ECampol;1000119;311;1;2890;12;Y
1000678;ECampol_Campol;311;1000119;1;2410;10;Y
1000681;Campol_MPombal;1000119;85;1;1535;6;Y
1000682;MPombal_Campol;85;1000119;1;1490;6;Y
1000687;Campol_SRios;1000119;50;1;2005;8;Y
1000688;SRios_Campol;50;1000119;1;2045;8;Y
1000691;Caselas_PCampismo;41;84;1;2180;9;Y
1000720;CGrandeM_TelheirasPV;60;1000127;1;2710;10;Y
1000721;Telheiras_CGrandeMPV;1000127;60;1;2710;10;Y
1000750;ISEL_EOriente;127;148;1;3830;15;Y
1000751;EOriente_ISEL;148;127;1;3200;13;Y
1000770;CRuivo_OlivaisN;20;393;1;3400;14;Y
1000775;PBispo_CRuivo;63;20;1;3470;14;Y
1000782;CSanto_RAlfand;140;1000009;1;830;5;Y
1000783;RAlfand_CSanto;1000009;140;1;830;5;Y
1000785;CSodre_PReal;70;417;1;1430;6;Y
1000786;PReal_CSodre;417;70;1;1430;6;Y
1000795;EDamaia_PBenfica;39;29;1;1050;4;Y
1000796;PBenfica_EDamaia;29;39;1;1090;5;Y
1000805;EBenfica_SRios;191;50;1;2910;8;Y
1000806;SRios_EBenfica;50;191;1;3260;7;Y
1000807;ECampol_SerafinaI;311;94;1;780;4;Y
1000808;SerafinaI_ECampol;94;311;1;780;4;Y
1000809;EMonsant_PRecreat;392;131;1;1040;4;Y
1000810;PRecreat_EMonsant;131;392;1;1040;4;Y
1000820;EOriente_MoscavL;148;1000122;1;1620;6;Y
1000821;MoscavL_EOriente;1000122;148;1;2020;8;Y
1000832;EStApoln_Xabregas;38;1000128;1;2075;7;Y
1000833;Xabregas_EStApoln;1000128;38;1;2090;7;Y
1000834;EStApoln_XabregasIn;38;1000128;1;2015;5;Y
1000835;Xabregas_EStApolnIn;1000128;38;1;2015;5;Y
1000836;Estrela_Rato;1000012;1000125;1;960;4;Y
1000837;Rato_Estrela;1000125;1000012;1;960;4;Y
1003681;EStApoln_Sapador;38;96;1;1740;9;Y
1000839;Galinheir_Fetais;138;128;1;1510;6;Y
