ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
247;R. Murtas Poente;R. Murtas Poente;38,7588005065918;-9,15003967285156;T;Y;Y;11401
248;R. Murtas Norte;R. Murtas Norte;38,7609596252441;-9,14737701416016;T;Y;N;11402
249;Calvanas;Calvanas;38,7639007568359;-9,1481351852417;T;Y;Y;11403
251;Estacão Musgueira;Estacão Musgueira;38,774614;-9,147396;T;Y;Y;11501
252;Esc. Sec. Lumiar;Esc. Sec. Lumiar;38,77467;-9,15583;T;Y;Y;11502
253;Alta de Lisboa (Qta. Conchas);Alta de Lisboa (Qta. Conchas);38,773609161377;-9,15113639831543;T;Y;Y;11503
254;Alta de Lisboa (Qta. Conchas);Alta de Lisboa (Qta. Conchas);38,773868560791;-9,14752578735352;T;Y;Y;11504
255;Est. Musgueira;Est. Musgueira;38,7747688293457;-9,14743328094482;T;Y;Y;11505
256;Est. Musgueira;Est. Musgueira;38,7746200561523;-9,14739990234375;T;Y;Y;11506
257;Av. Carlos Paredes;Av. Carlos Paredes;38,7742500305176;-9,15218257904053;T;Y;Y;11507
258;Esc. Sec. Lumiar;Esc. Sec. Lumiar;38,774906;-9,155334;T;Y;Y;11508
259;Esc. Pintor Almada Negreiros;Esc. Pintor Almada Negreiros;38,7772789001465;-9,14643287658691;T;Y;Y;11509
260;Av. Carlos Paredes;Av. Carlos Paredes;38,7744102478027;-9,15174674987793;T;Y;Y;11510
261;Esc. Pintor Almada Negreiros;Esc. Pintor Almada Negreiros;38,7771301269531;-9,1464672088623;T;Y;Y;11511
262;R. Helena Vaz Silva;R. Helena Vaz Silva;38,7732391357422;-9,153000831604;T;Y;Y;11512
263;R. Helena Vaz Silva;R. Helena Vaz Silva;38,7730293273926;-9,15325927734375;T;Y;Y;11513
264;Av. David Mourão Ferreira;Av. David Mourão Ferreira;38,777468;-9,15202;T;Y;Y;11517
265;Av. Maria Helena Vieira Silva;Av. Maria Helena Vieira Silva;38,7668800354004;-9,15103530883789;T;Y;Y;11518
266;Av. Maria Helena Vieira Silva;Av. Maria Helena Vieira Silva;38,7668685913086;-9,15168285369873;T;Y;Y;11519
267;Estr. Forte (Escola);Estr. Forte (Escola);38,7907485961914;-9,15076065063477;T;Y;Y;11601
268;Estr. Forte (Escola);Estr. Forte (Escola);38,7904014587402;-9,1506462097168;T;Y;Y;11602
269;Galinheiras;Galinheiras;38,7922706604004;-9,15076732635498;T;Y;Y;11603
270;Az. Galinheiras;Az. Galinheiras;38,7937698364258;-9,14987277984619;T;Y;Y;11604
271;Qta. Balsares;Qta. Balsares;38,7934989929199;-9,15205001831055;T;Y;Y;11605
272;Az. Galinheiras;Az. Galinheiras;38,7938804626465;-9,14991664886475;T;Y;Y;11606
273;Grafanil;Grafanil;38,7931594848633;-9,1554069519043;T;Y;Y;11607
274;Galinheiras;Galinheiras;38,7924308776855;-9,15025043487549;T;Y;Y;11608
275;Qta. Torrinha;Qta. Torrinha;38,7908897399902;-9,15730476379395;T;Y;Y;11609
276;Qta. Balsares;Qta. Balsares;38,7940788269043;-9,15200042724609;T;Y;Y;11610
277;Qta. Balsares;Qta. Balsares;38,7933807373047;-9,15313720703125;T;Y;Y;11611
278;Grafanil;Grafanil;38,7931213378906;-9,15523910522461;T;Y;Y;11612
279;Galinheiras;Galinheiras;38,7920799255371;-9,15030002593994;T;Y;Y;11613
280;Qta. Torrinha;Qta. Torrinha;38,7906112670898;-9,15734672546387;T;Y;Y;11614
281;Rampa Mercado;Rampa Mercado;38,7923889160156;-9,14811611175537;T;Y;Y;11615
282;Qta. Balsares;Qta. Balsares;38,793270111084;-9,15311241149902;T;Y;Y;11616
283;Rampa Mercado;Rampa Mercado;38,7927589416504;-9,14818000793457;T;Y;Y;11617
284;Torrinha;Torrinha;38,787769317627;-9,15907573699951;T;Y;Y;11618
285;Piscina Municipal Ameixoeira;Piscina Municipal Ameixoeira;38,7858810424805;-9,15969085693359;T;Y;Y;11619
286;Torrinha;Torrinha;38,7881202697754;-9,15861415863037;T;Y;Y;11620
287;Cemiterio Alto S. João;Cemiterio Alto S. João;38,7291297912598;-9,12240791320801;T;Y;Y;11701
288;Cemiterio Alto S. João;Cemiterio Alto S. João;38,7288589477539;-9,12219333648682;T;Y;Y;11702
289;Av. Afonso III;Av. Afonso III;38,7276992797852;-9,11964797973633;T;Y;Y;11703
290;Av. Afonso III;Av. Afonso III;38,7274894714355;-9,11960887908936;T;Y;Y;11704
291;Vale Escuro;Vale Escuro;38,7283592224121;-9,12434673309326;T;Y;Y;11705
292;Vale Escuro;Vale Escuro;38,7283706665039;-9,12467288970947;T;Y;Y;11706
293;R. Castelo Branco Saraiva;R. Castelo Branco Saraiva;38,7257690429688;-9,12242603302002;T;Y;Y;11707
294;R. Castelo Branco Saraiva;R. Castelo Branco Saraiva;38,725040435791;-9,12239837646484;T;Y;Y;11708
295;Estadio Tapadinha;Estadio Tapadinha;38,7096786499023;-9,17945671081543;T;Y;Y;11801
296;Estadio Tapadinha;Estadio Tapadinha;38,7095413208008;-9,17957782745361;T;Y;Y;11802
297;B.º Alvito;B.º Alvito;38,7142295837402;-9,18181037902832;T;Y;Y;11803
