ID;NAME;START_STOP;END_STOP;VISIBLE;LENGTH
305;12914_12912;528;526;Y;239
306;12912_12411;526;416;Y;390
307;12411_12406;416;411;Y;218
308;12406_12410;411;415;Y;254
309;12410_12403;415;408;Y;80
310;12403_12405;408;410;Y;253
311;12405_12408;410;413;Y;323
312;12408_12911;413;525;Y;163
313;12911_12913;525;527;Y;285
314;12913_12915;527;529;Y;326
315;12915_13111;529;557;Y;189
316;13111_13113;557;559;Y;199
317;13113_13309;559;587;Y;354
318;13309_9601;587;2173;Y;204
319;9601_9603;2173;2175;Y;509
320;9603_4109;2175;1258;Y;256
321;4109_4115;1258;1265;Y;578
322;4115_9507;1265;2167;Y;322
323;9507_9505;2167;2165;Y;280
324;9505_9503;2165;2163;Y;363
325;9503_12111;2163;339;Y;360
326;12111_12105;339;332;Y;527
327;12109_9418;336;2148;Y;259
328;9418_10207;2148;45;Y;236
329;10207_10209;45;47;Y;264
330;10209_10211;47;49;Y;278
331;10211_3907;49;1220;Y;343
332;3907_3911;1220;1224;Y;260
333;3911_3913;1224;1226;Y;213
334;3913_3922;1226;1230;Y;135
335;3922_7103;1230;1645;Y;303
336;7103_6701;1645;1566;Y;239
337;6701_6703;1566;1568;Y;298
338;6703_6705;1568;1570;Y;197
339;6705_6817;1570;1603;Y;281
340;6817_6805;1603;1591;Y;319
341;6805_6809;1591;1595;Y;397
342;6809_1207;1595;324;Y;244
343;1207_1205;324;322;Y;415
344;1205_1701;322;842;Y;266
345;1701_1703;842;844;Y;323
346;1703_1801;844;853;Y;286
347;1801_1805;853;857;Y;527
348;1805_1903;857;926;Y;504
349;1903_2022;926;959;Y;357
350;2022_2005;959;941;Y;383
351;2005_208;941;968;Y;365
352;208_202;968;956;Y;259
353;202_11210;956;228;Y;566
354;11210_11208;228;226;Y;234
355;11208_7306;226;1674;Y;493
356;7306_314;1674;1139;Y;245
357;10401_10403;69;71;Y;268
358;10403_12401;71;406;Y;476
359;12401_12407;406;412;Y;222
360;12407_12403;412;408;Y;150
361;1207_1213;324;357;Y;404
362;14107_14105;699;697;Y;224
363;14105_14103;697;695;Y;219
364;14103_14101;695;693;Y;286
365;14101_14111;693;704;Y;309
366;14111_13909;704;674;Y;515
367;13909_13911;674;676;Y;578
368;13911_12813;676;494;Y;348
369;12813_12821;494;499;Y;224
370;12821_10823;499;2381;Y;1087
371;10823_10804;2381;137;Y;425
372;10804_10802;137;135;Y;427
373;10802_10906;135;174;Y;272
374;10906_10904;174;172;Y;277
375;10904_10921;172;189;Y;197
376;10921_10919;189;187;Y;296
377;10919_2807;187;1088;Y;395
378;2807_2805;1088;1086;Y;214
379;2805_2810;1086;1091;Y;824
380;2810_8838;1091;2008;Y;764
381;8838_8708;2008;1977;Y;774
382;8708_8718;1977;1985;Y;397
383;8718_8716;1985;1983;Y;151
384;8716_8706;1983;1975;Y;295
385;8706_8704;1975;1973;Y;450
386;8704_8702;1973;1971;Y;542
387;8702_21301;1971;997;Y;633
388;21301_21303;997;999;Y;504
389;21303_12927;999;541;Y;547
390;12927_12928;541;542;Y;174
391;12928_10315;542;65;Y;464
392;10315_12907;65;521;Y;522
393;12907_12903;521;517;Y;375
394;12903_12901;517;515;Y;301
395;12901_10301;515;52;Y;332
396;10301_13307;52;585;Y;242
397;13307_4105;585;1254;Y;333
398;4105_4103;1254;1252;Y;378
399;4103_9610;1252;2182;Y;550
400;9610_13210;2182;576;Y;399
401;13210_13206;576;574;Y;507
402;13206_13204;574;572;Y;367
403;13204_4208;572;1274;Y;606
404;4208_4211;1274;1277;Y;274
405;4211_4209;1277;1275;Y;409
406;4209_13203;1275;571;Y;535
407;13203_13205;571;573;Y;373
408;13205_13209;573;575;Y;522
409;13209_9603;575;2175;Y;553
410;4109_4104;1258;1253;Y;188
411;4104_4106;1253;1255;Y;305
412;4106_13311;1255;589;Y;258
413;13311_13308;589;586;Y;151
414;13308_10302;586;53;Y;236
415;10302_12902;53;516;Y;349
416;12902_12904;516;518;Y;277
417;12904_12923;518;537;Y;274
418;12923_12928;537;542;Y;251
419;10315_21304;65;1000;Y;839
420;21304_21302;1000;998;Y;530
421;21302_8713;998;1980;Y;589
422;8713_8703;1980;1972;Y;531
423;8703_8705;1972;1974;Y;449
424;8705_8715;1974;1982;Y;299
425;8715_8717;1982;1984;Y;136
426;8717_8707;1984;1976;Y;399
427;8707_8837;1976;2007;Y;777
428;8837_2809;2007;1090;Y;824
429;2809_10831;1090;162;Y;515
430;10831_2806;162;1087;Y;533
431;2806_2808;1087;1089;Y;137
432;2808_10918;1089;186;Y;405
433;10918_10920;186;188;Y;257
434;10920_10903;188;171;Y;235
435;10903_10905;171;173;Y;249
436;10905_10835;173;165;Y;389
437;10835_10807;165;140;Y;453
438;10807_10812;140;144;Y;517
439;10812_30001;144;2391;Y;511
440;30001_12822;2391;500;Y;610
441;12822_12812;500;493;Y;396
442;12812_13904;493;669;Y;268
443;13904_13906;669;671;Y;561
444;13906_14110;671;703;Y;399
445;14110_14102;703;694;Y;292
446;14102_14104;694;696;Y;343
447;14104_14106;696;698;Y;129
448;14106_14107;698;699;Y;451
449;21303_12907;999;521;Y;556
450;12904_12908;518;522;Y;215
3216;1213_21309;357;4000152;Y;4821
3217;21309_5501;4000152;1346;Y;7198
3218;8714_21308;1981;1004;Y;652
3816;8004_8012;1816;1825;Y;308
4056;3801_4501;1193;1294;Y;1005
4057;5959_5905;1468;1415;Y;431
4058;5905_5909;1415;1419;Y;384
4059;5908_5998;1418;4000352;Y;540
4060;5998_5958;4000352;1467;Y;242
4061;3810_4501;1201;1294;Y;1027
4062;3810_4505;1201;1298;Y;1045
4116;3824_5508;1211;1352;Y;733
5576;4004_12121;1237;350;Y;346
5577;12121_12108;350;335;Y;432
5596;3807_3802;1198;1194;Y;257
5597;3803_3807;1195;1198;Y;270
8196;12524_12502;442;420;Y;520
8216;8310_9822;1880;2216;Y;241
8836;411_323;1259;1146;Y;336
8837;323_322;1146;4001672;Y;367
8838;322_308;4001672;1134;Y;597
9016;1002_1001;16;8;Y;136
9036;10303_10311;54;62;Y;466
9056;10311_12920;62;534;Y;465
9076;10612_6810;104;1596;Y;523
9096;10823_10832;2381;4000798;Y;332
9116;12015_12017;4000799;4001712;Y;240
9136;12017_12016;4001712;4000853;Y;285
9156;1207_1220;324;364;Y;393
9176;12103_12114;330;342;Y;245
9196;12103_12120;330;349;Y;128
9216;12104_12105;331;332;Y;288
9236;12113_12104;341;331;Y;157
9256;12122_12103;351;330;Y;240
9276;1220_1214;364;358;Y;289
9296;12502_12511;420;429;Y;75
9316;12513_12526;431;444;Y;754
9336;12523_2223;441;4001732;Y;468
9356;12524_12527;442;445;Y;377
1;5826_5807;1398;1384;Y;349
2;5807_5811;1384;1388;Y;424
3;5811_5901;1388;1411;Y;301
4;5901_5903;1411;1413;Y;385
5;5903_5907;1413;1417;Y;396
6;5907_5912;1417;1422;Y;241
7;5912_5923;1422;1433;Y;408
8;5923_7217;1433;1661;Y;458
9;7217_7215;1661;1659;Y;346
10;7215_11618;1659;284;Y;444
11;11618_11614;284;280;Y;307
12;11614_11612;280;278;Y;344
13;11612_11624;278;2462;Y;255
14;11624_11613;2462;279;Y;485
15;11613_11601;279;267;Y;300
16;11601_11623;267;2461;Y;345
17;11623_11607;2461;273;Y;228
18;11607_11609;273;275;Y;302
19;11609_11620;275;286;Y;367
20;11620_11619;286;285;Y;277
21;11619_7216;285;1660;Y;244
22;7216_7214;1660;1658;Y;317
23;7214_5910;1658;1420;Y;426
24;5910_5908;1420;1418;Y;285
25;5908_5940;1418;1450;Y;363
26;5940_5904;1450;1414;Y;342
27;5904_5902;1414;1412;Y;319
28;5902_5820;1412;1394;Y;250
29;5820_5826;1394;1398;Y;598
30;2115_2119;983;986;Y;199
31;2119_2121;986;988;Y;242
32;2121_2123;988;990;Y;193
33;2123_2105;990;973;Y;340
34;2105_9121;973;2098;Y;281
35;9121_9119;2098;2095;Y;259
36;9119_9117;2095;2093;Y;273
37;9117_9111;2093;2087;Y;164
38;9111_9125;2087;2101;Y;195
39;9125_601;2101;1478;Y;388
40;601_603;1478;1500;Y;323
41;603_605;1500;1502;Y;264
42;605_616;1502;1543;Y;202
43;616_6905;1543;1615;Y;209
44;6905_6608;1615;1562;Y;278
45;6608_6602;1562;1556;Y;349
46;6602_1202;1556;319;Y;346
47;1202_1209;319;326;Y;388
48;1209_6127;326;1535;Y;535
49;6127_6103;1535;1510;Y;278
50;6103_6113;1510;1521;Y;441
51;6113_8507;1521;1950;Y;179
52;8507_8609;1950;1968;Y;188
53;8609_8010;1968;1823;Y;344
54;8010_9303;1823;2130;Y;486
