ID;CODE;COLOR;OBS;PRECEDING_ID;DEPOTS;SCHEDULE_ID;VEHICLETYPE_ID
1205460;11;16744640;;;0;10539643;
1205461;12;6533553;;;0;10539643;
1205462;02;65280;;;0;10539643;
1205463;03;16776960;;;0;10539643;
1414120;82;6579300;;;0;10598723;
1414121;83;9868950;;;0;10598723;
1205780;05;32768;;;0;10539923;
1414122;84;11842740;;;0;10598723;
1414779;01;255;;;0;10605043;
1415204;01;255;;;0;10605084;
1415205;04;8388863;;;0;10605084;
1415206;05;32768;;;0;10605084;
1151381;07;16711935;;;0;10501361;
1151382;01;255;;;0;10501361;
1151383;02;65280;;;0;10501361;
1151384;04;8388863;;;0;10501361;
1151385;05;32768;;;0;10501361;
1151386;06;65535;;;0;10501361;
1151387;08;14068651;;;0;10501361;
1151388;03;16776960;;;0;10501361;
1415207;06;65535;;;0;10605084;
1415208;07;16711935;;;0;10605084;
1415209;02;65280;;;0;10605084;
1415210;03;16776960;;;0;10605084;
1257120;01;255;;;0;10564443;
1257121;02;65280;;;0;10564443;
1257122;03;16776960;;;0;10564443;
1257123;07;16711935;;;0;10564443;
1257124;05;32768;;;0;10564443;
1257125;04;8388863;;;0;10564443;
1257126;12;7321527;;;0;10564443;
1415211;08;14068651;;;0;10605084;
1418819;03;16776960;;;0;10605243;
1418820;01;255;;;0;10605243;
1418821;02;65280;;;0;10605243;
1418822;04;8388863;;;0;10605243;
1183099;01;255;;;0;10522523;
1183100;02;65280;;;0;10522523;
1183101;03;16776960;;;0;10522523;
1421781;75;14145495;;;0;10606543;
1415212;09;8405056;;;0;10605084;
1415213;10;33023;;;0;10605084;
1415214;11;16744640;;;0;10594284;
1415215;12;4227200;;;0;10594284;
1421782;76;14474460;;;0;10606543;
1421783;77;14803425;;;0;10606543;
1421784;78;15132390;;;0;10606543;
1420499;85;11842740;;;0;10605803;
1420559;81;0;;;0;10605883;
1420582;85;11842740;;;0;10605883;
1420799;03;16776960;;;0;10606083;
1257127;06;65535;;;0;10564443;
1257128;13;16744448;;;0;10564443;
1202499;01;255;;;0;10537963;
1202500;02;8453888;;;0;10537963;
1420800;01;255;[$I_14:58];;0;10606083;
1205781;03;16776960;;;0;10539923;
1420801;02;65280;;;0;10606083;
1420802;05;32768;;;0;10606083;
1420803;06;65535;;;0;10606083;
1420804;04;8388863;[$I_13:42];;0;10606083;
1205466;07;16711935;;;0;10539643;
1205467;10;33023;;;1;10539643;
1205468;01;255;;;0;10539643;
1205469;04;8388863;;;0;10539643;
1205782;07;16711935;;;0;10539923;
1188062;03;16776960;;;0;10526003;
1421785;79;15461355;;;0;10606543;
1188063;05;32768;;;0;10526003;
1188064;01;255;;;0;10526003;
1188065;20;12632256;;;1;10526003;
1188066;21;13553407;;;1;10526003;
1420805;07;16711935;;;0;10606083;
1420959;85;11842740;;;0;10606163;
1420960;86;13158600;;;0;10606163;
1420961;87;13816530;;;0;10606163;
1420962;88;14474460;;;0;10606163;
1420979;89;15132390;;;0;10606163;
1421786;80;15790320;;;0;10606543;
1422639;61;3947580;;;0;10606843;
1422640;62;5921370;;;0;10606843;
